Experiment,Reward Type,Type,CAGR Train (mean),CAGR Train (std),Sharpe Train,Sortino Train,MaxDD Train,CAGR Test (mean),CAGR Test (std),Sharpe Test,Sortino Test,MaxDD Test,Calmar Test,TotalRet Test (mean),CAGR Gap
R0_PureReturn,pure_return,RL,-0.34792979621297837,0.05344500164464166,-0.4277945514845012,-0.5778522532868798,-0.9368651127834194,-0.09912926000973299,2.31087825773252e-06,-0.15960085700101512,-0.2053454868393873,-0.5502124115598458,-0.18016543767342014,-0.07913121209212359,-0.24880053620324538
R1_RollingSharpe,rolling_sharpe,RL,-0.38366569210033313,0.010181933984288842,-0.47114696549599727,-0.6302720403939902,-0.9428019262487303,-0.09913144045959132,8.251402077592083e-07,-0.1596050815648837,-0.20535044633516675,-0.5502125405748548,-0.18016935843151313,-0.07913297217822568,-0.2845342516407418
R2_RollingSortino,rolling_sortino,RL,-0.3891619632595005,0.005640183626206644,-0.4785943511436317,-0.6429289722329369,-0.9419694027330168,-0.0991311581861692,2.536141129414227e-07,-0.15960467214780993,-0.20534995845877113,-0.5502124478121779,-0.18016887575880142,-0.07913274432346167,-0.2900308050733313
R3_DiffSharpe,diff_sharpe,RL,-0.3858225220225575,0.00029908594301246167,-0.47560686718190587,-0.6405871607338284,-0.9419190353029899,-0.09913112438385425,3.5450514316353085e-07,-0.1596042646462302,-0.20534931612183935,-0.5502123977755271,-0.18016883077267853,-0.07913271703780878,-0.28669139763870327
Comp_Static_Gamma0,Static γ=0.0,Static,-0.309516811107463,0.0,-0.3941160780186661,-0.5192633962384923,-0.9310039483287005,-0.08799399220782345,0.0,-0.1419096306159239,-0.17739424725174172,-0.5570536900819846,-0.1579632157088357,-0.07015431180895493,-0.22152281889963954
Comp_Static_Gamma1,Static γ=1.0,Static,-0.38592040257088867,0.0,-0.4756883384967025,-0.640650378773289,-0.9419190288309576,-0.09913090507308275,0.0,-0.15960390572982822,-0.20534886234945773,-0.550212412817916,-0.1801684272540913,-0.07913254000735725,-0.2867894974978059
Comp_Static_Gamma2,Static γ=2.0,Static,-0.3853042138489478,5.551115123125783e-17,-0.4749449082357556,-0.6397341852754291,-0.9419191402197106,-0.09913212798227455,0.0,-0.15960589058659946,-0.20535140476532776,-0.5502124042741809,-0.18017065266466636,-0.07913352715530164,-0.28617208586667325
