Experiment,Features,Obs Dim,TotalRet Train (mean),TotalRet Train (std),AnnRet Train (mean),AnnRet Train (std),Sharpe Train,MaxDD Train,TotalRet Test (mean),TotalRet Test (std),AnnRet Test (mean),AnnRet Test (std),Sharpe Test,MaxDD Test,TotalRet Gap,AnnRet Gap
E0_Baseline,Network(5) + Market(4),9,-0.6196316201957538,0.00394659370327733,-0.3832681460143624,0.003193756985813889,-0.4716036393671384,-0.9419190535588632,-0.07913271095149203,2.2556450218268652e-07,-0.099131116843943,2.794362526793808e-07,-0.159604253648169,-0.5502123836272207,-0.5404989092442618,-0.2841370291704194
E1_NoNetwork,Market(4),4,-0.6245369186059145,0.012725872626687297,-0.3873379368899476,0.010405662872663222,-0.4792993585772617,-0.9424630937253441,-0.07913271894965979,2.5661563156673054e-07,-0.0991311267523171,3.1790335969039603e-07,-0.15960427454650386,-0.5502124025473492,-0.5454041996562548,-0.2882068101376305
E2_NoMarket,Network(5),5,-0.622818699838369,0.0002119678554686928,-0.3858491468854866,0.00017256983075912593,-0.4756236752724801,-0.9419190483156121,-0.0791326144709904,2.5042099835768746e-07,-0.09913099732091946,3.102292535916872e-07,-0.15960405699255528,-0.5502123884803476,-0.5436860853673786,-0.28671814956456715
E3_AddDownside,Network(5) + Market(4) + downside_vol,10,-0.6232542444286845,0.000963963670150855,-0.3862043185987993,0.0007855345639431199,-0.47605434745277136,-0.9419182269111107,-0.07913240904077024,6.678237878175063e-08,-0.09913074282762535,8.273207704163971e-08,-0.15960364948259123,-0.5502123850126577,-0.5441218353879143,-0.28707357577117393
E4_AddAvgCorr,Network(5) + Market(4) + avg_corr,10,-0.5701942399567664,0.07362194243041745,-0.3466922980606224,0.05472482644945385,-0.4298221404836572,-0.9380936343908668,-0.07913280241891789,1.1777773509784975e-07,-0.09913123015661511,1.4590668512858368e-07,-0.15960443506451222,-0.5502124221953375,-0.49106143753784853,-0.24756106790400728
E5_AddBoth,Network(5) + Market(4) + downside_vol + avg_corr,11,-0.5192539776320624,0.07219948474399691,-0.3087210085366589,0.05365983907321683,-0.38299827572581696,-0.9339724290840463,-0.07913285901966334,2.718403573220277e-07,-0.09913130027535033,3.36764209694656e-07,-0.15960454870685536,-0.5502124076419125,-0.44012111861239905,-0.20958970826130857
Comp_Static_Gamma0,Static Gamma 0.0,5,-0.5232329658567931,0.0,-0.309516811107463,0.0,-0.3941160780186661,-0.9310039483287005,-0.07015431180895493,0.0,-0.08799399220782345,0.0,-0.1419096306159239,-0.5570536900819846,-0.4530786540478382,-0.22152281889963954
Comp_Static_Gamma1,Static Gamma 1.0,5,-0.6229062480213006,0.0,-0.38592040257088867,0.0,-0.4756883384967025,-0.9419190288309576,-0.07913254000735725,0.0,-0.09913090507308275,0.0,-0.15960390572982822,-0.550212412817916,-0.5437737080139433,-0.2867894974978059
Comp_Static_Gamma2,Static Gamma 2.0,5,-0.62214909048814,0.0,-0.3853042138489478,5.551115123125783e-17,-0.4749449082357556,-0.9419191402197106,-0.07913352715530164,0.0,-0.09913212798227455,0.0,-0.15960589058659946,-0.5502124042741809,-0.5430155633328384,-0.28617208586667325
