Experiment,Features,Obs Dim,SharpeRatio_Train_Mean,SharpeRatio_Train_Std,SortinoRatio_Train_Mean,SortinoRatio_Train_Std,CalmarRatio_Train_Mean,CalmarRatio_Train_Std,CVaR95pct_Train_Mean,CVaR95pct_Train_Std,SharpeRatio_Test_Mean,SharpeRatio_Test_Std,SortinoRatio_Test_Mean,SortinoRatio_Test_Std,CalmarRatio_Test_Mean,CalmarRatio_Test_Std,CVaR95pct_Test_Mean,CVaR95pct_Test_Std,AnnRet_Train_Mean,AnnRet_Test_Mean,TotalRet_Gap
Comp_Static_Gamma0,Static Gamma 0.0,5,-0.3941160780186661,0.0,-0.5192633962384924,0.0,-0.3324548855706731,0.0,0.11971225563588428,0.0,-0.1419096306159239,0.0,-0.17739424725174172,0.0,-0.1579632157088357,0.0,0.1005710936463076,0.0,-0.309516811107463,-0.08799399220782345,-0.4530786540478382
Comp_Static_Gamma1,Static Gamma 1.0,5,-0.47568833849670256,0.0,-0.6406503787732891,0.0,-0.4097171739378335,0.0,0.1227276129880664,0.0,-0.15960390572982824,0.0,-0.20534886234945773,0.0,-0.1801684272540913,0.0,0.09966602411598907,0.0,-0.38592040257088867,-0.09913090507308275,-0.5437737080139433
Comp_Static_Gamma2,Static Gamma 2.0,5,-0.4749449082357556,0.0,-0.6397341852754291,0.0,-0.4090629411767473,0.0,0.12270905849553133,0.0,-0.15960589058659966,0.0,-0.20535140476532798,0.0,-0.18017065266466653,0.0,0.09966601629541968,0.0,-0.38530421384894786,-0.09913212798227455,-0.5430155633328384
E2_NoMarket,Network(5),5,-0.47746465284301,0.0,-0.6429721136897365,0.0,-0.4111772976556924,0.0,0.1227360042415683,0.0,-0.15959962320932938,0.0,-0.2053446598114787,0.0,-0.18016492655239724,0.0,0.09966601854129524,0.0,-0.3872957310509144,-0.09912897419979383,-0.5454624974292562
E2_drop_CentStd,Network(5),4,-0.47525151435017354,0.0,-0.6401791983335524,0.0,-0.40928261408981786,0.0,0.1227006917900661,0.0,-0.15960419188998906,0.0,-0.20534923598731228,0.0,-0.18016874287158569,0.0,0.09966601360647884,0.0,-0.38551109010512186,-0.09913108003818372,-0.5432706983747965
E2_drop_CentMean,Network(5),4,-0.21239128201199076,0.0,-0.2860559895377234,0.0,-0.18920727116513447,0.0,0.12331021896604209,0.0,-0.1637628088978063,0.0,-0.2106797355985147,0.0,-0.18481356568059384,0.0,0.09965665609013172,0.0,-0.17605630890622637,-0.10169134959299875,-0.23991681217731964
E2_drop_MSTDist,Network(5),4,-0.47530914127393276,0.0,-0.6402465321175884,0.0,-0.4093363688328031,0.0,0.12270388814297449,0.0,-0.15960382860577496,0.0,-0.20534875836212324,0.0,-0.18016835088059152,0.0,0.0996660173162455,0.0,-0.3855617252246095,-0.09913085680808553,-0.543333105443802
E2_drop_MaxCent,Network(5),4,-0.47549770270198705,0.0,-0.6404916560552852,0.0,-0.40949029907948886,0.0,0.12270284857617243,0.0,-0.15960429202319948,0.0,-0.20534936941118873,0.0,-0.180168856458437,0.0,0.09966601437698316,0.0,-0.38570671404688806,-0.09913114067608375,-0.5435110286438365
E2_drop_NetDens,Network(5),4,-0.44578263470943036,0.0,-0.6031268148169944,0.0,-0.3856736114294135,0.0,0.12272752550467234,0.0,-0.15960396097533738,0.0,-0.20534895322081131,0.0,-0.18016848991445694,0.0,0.09966601049763074,0.0,-0.3632733210167226,-0.09913093520245997,-0.5154465719427539
EW,Standard Baseline,0,-0.22241547624567443,0.0,-0.28995315403554295,0.0,-0.20628853173459658,0.0,0.1365789860678815,0.0,-0.3452019230322932,0.0,-0.43515217134191425,0.0,-0.38898669336220704,0.0,0.10849559668337512,0.0,-0.19435321314146192,-0.22748046326885396,-0.16654611835765143
B&H,Standard Baseline,0,0.0024295797438300204,0.0,0.004207567198966331,0.0,0.008004670189811373,0.0,0.16245123057714644,0.0,0.029659136514626906,0.0,0.05232665878195576,0.0,0.0947233737424427,0.0,0.12318281728832173,0.0,0.0032497925711691966,0.028531880576232238,-0.01595414586697208
Classic-MV,Standard Baseline,0,-0.3941160780186661,0.0,-0.5192633962384924,0.0,-0.3324548855706731,0.0,0.11971225563588428,0.0,-0.1419096306159239,0.0,-0.17739424725174172,0.0,-0.1579632157088357,0.0,0.1005710936463076,0.0,-0.309516811107463,-0.08799399220782345,-0.4530786540478382
