Date,Cent.Std,Cent.Mean,MST.Dist,Max.Cent,Net.Density,Short.Ret,Momentum,Recent.Vol,Port.Val,Downside.Vol,Avg.Corr
2017-10-15,1.4997544819274626,2.9768855545770645,1.0212018693563825,0.6979763609743419,0.13580246913580246,0.98524725,0.59831434,1.3433105,0.0,3.8369599158983876,0.026421234740840394
2017-10-16,1.4997544819274626,2.9768855545770645,1.0277681178238514,0.6979763609743419,0.13580246913580246,0.9490331,0.6707878,1.4054846,0.0,3.7626785169310937,0.025791321758946665
2017-10-17,1.4997544819274626,2.9768855545770645,1.0277566112606455,0.6979763609743419,0.13580246913580246,0.9105872,0.6331554,1.4402169,0.0,3.7197035771769613,0.025792530359471086
2017-10-18,1.4997544819274626,2.9768855545770645,1.0273934851320061,0.6979763609743419,0.13580246913580246,0.040418886,-0.20100507,0.95952415,0.0,4.007091337344118,0.025830482642682916
2017-10-19,1.4997544819274626,2.9768855545770645,1.0324585960226706,0.6979763609743419,0.13580246913580246,0.02580315,-0.12540063,0.90463686,0.0,4.006348831365248,0.02526802252280442
2017-10-20,1.4997544819274626,2.9768855545770645,1.0340307471109138,0.6979763609743419,0.13580246913580246,-0.19882676,-0.38305578,0.6979693,0.0,4.021677695302513,0.025078948742082153
2017-10-21,1.4997544819274626,2.9768855545770645,1.0355003299325944,0.6979763609743419,0.13580246913580246,-0.05484299,-0.27147007,0.75177467,0.0,4.120350434267438,0.024896001826352206
2017-10-22,1.4997544819274626,2.9768855545770645,1.0400494292822837,0.6979763609743419,0.13580246913580246,-0.11682297,-0.3870765,0.76343244,0.0,2.9394364013033245,0.024291661737166566
2017-10-23,1.4997544819274626,2.9768855545770645,1.038098213603249,0.6979763609743419,0.13580246913580246,0.05214197,-0.19612886,0.52321965,0.0,2.8541502479717384,0.0245579177332485
2017-10-24,1.4997544819274626,2.9768855545770645,1.037565958557907,0.6979763609743419,0.13580246913580246,-0.09243183,-0.29821423,0.48907828,0.0,2.7830305713036934,0.024628711487135423
2017-10-25,1.4997544819274626,2.9768855545770645,1.047725425663178,0.6979763609743419,0.13580246913580246,-0.21707158,-0.42720973,0.76957124,0.0,3.174213640553683,0.02314158566847076
2017-10-26,1.4997544819274626,2.9768855545770645,1.0503343256491249,0.6979763609743419,0.13580246913580246,-0.24450392,-0.4195794,0.7261572,0.0,3.174213640553683,0.022713433424702844
