Experiment,Features,Obs Dim,SharpeRatio_Train_Mean,SharpeRatio_Train_Std,SortinoRatio_Train_Mean,SortinoRatio_Train_Std,CalmarRatio_Train_Mean,CalmarRatio_Train_Std,CVaR95pct_Train_Mean,CVaR95pct_Train_Std,SharpeRatio_Test_Mean,SharpeRatio_Test_Std,SortinoRatio_Test_Mean,SortinoRatio_Test_Std,CalmarRatio_Test_Mean,CalmarRatio_Test_Std,CVaR95pct_Test_Mean,CVaR95pct_Test_Std,AnnRet_Train_Mean,AnnRet_Test_Mean,TotalRet_Gap
Comp_Static_Gamma0,Static Gamma 0.0 (Deterministic),2,-0.41744705010018524,0.0,-0.5474605929987613,0.0,-0.34377288216215135,0.0,0.11589049226033254,0.0,-0.07515625955274441,0.0,-0.09474945310137083,0.0,-0.08461545370566842,0.0,0.09852746573910524,1.3877787807814457e-17,-0.3190803560335219,-0.046262751709204686,-0.49963441658440244
Comp_Static_Gamma1,Static Gamma 1.0 (Deterministic),2,-0.6626283957922285,0.0,-0.9319570594925871,1.1102230246251565e-16,-0.6203018480746506,0.0,0.12499015346516641,0.0,-0.10386311185530027,0.0,-0.13492989828487367,0.0,-0.1178311811524038,1.3877787807814457e-17,0.09763803642664781,0.0,-0.5792134400669735,-0.06415396503625725,-0.7719264532233477
Comp_Static_Gamma2,Static Gamma 2.0 (Deterministic),2,-0.6626287371736219,0.0,-0.9319575001636733,0.0,-0.6203020919288678,0.0,0.12499016043725021,0.0,-0.10386260670084806,1.3877787807814457e-17,-0.13492924169882967,0.0,-0.11783058874626774,0.0,0.09763803790653776,0.0,-0.5792137229525364,-0.0641536554453066,-0.7719269392038369
E2_TD3,Network(2) + Market(7),9,-0.4204646469857691,0.3383453542047295,-0.5931055754594239,0.4770335505736782,-0.3971674152992783,0.3263614514649178,0.13500419161177238,0.007728836786157819,0.2870837923302258,0.40241108736904907,0.387679323285181,0.5439362621062754,0.3697074160975962,0.5143698535062506,0.11366797556294221,0.011078764439791838,-0.3794903277755328,0.1878003654171755,-0.6594767646723046
Classic-MV,Standard Baseline (Deterministic),0,-0.4033345028189896,0.0,-0.5229161178673675,0.0,-0.3314243851571796,0.0,0.11660653289775642,1.3877787807814457e-17,-0.10535266974300976,1.3877787807814457e-17,-0.1334691408970812,0.0,-0.11884642687003605,0.0,0.09783703130391837,1.3877787807814457e-17,-0.30755256536583675,-0.06454591038214985,-0.4691904599201403
