,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Sharpe Incr),SAC-Net (Total Return)
2017-10-15,0.9733085171328315,0.9995882844639884,0.9996395753314883,0.9733085171328315,0.9994664924575462,0.9992229083119278
2017-10-16,0.9813996930793127,0.9990084801266597,0.9991191143270295,0.9813996930793127,0.9989685415588306,0.9988886045317132
2017-10-17,0.9605983643911018,0.9860674074658003,0.9875597876368822,0.9605983643911018,0.9867131063601067,0.9880042803655035
2017-10-18,0.9580553752355699,0.9882956918708209,0.9895547007229489,0.9580553752355699,0.9887902481269076,0.9897785372879307
2017-10-19,0.9780376275216304,0.9888432163278535,0.9900388017032996,0.9780376275216304,0.9894179152724152,0.9905667289432794
2017-10-20,1.0286082537154309,0.9964270199782097,0.9968094428709495,1.0286082537154309,0.996818197712702,0.997599310175228
2017-10-21,1.0320503011534097,0.9923918462389736,0.9932013437517883,1.0320503011534097,0.9930500223687682,0.9943657680304058
2017-10-22,1.0280763647454787,0.9889178873238601,0.9901012932001859,1.0280763647454787,0.9898641947658422,0.9914714054859836
2017-10-23,1.014625362113473,0.9831391833280095,0.9849442050225568,1.014625362113473,0.9844939197238937,0.9865130789632858
2017-10-24,0.9430962179666205,0.976790055035031,0.9792878906393166,0.9430962179666205,0.9780107449618828,0.9798804199288628
2017-10-25,0.9805926682009438,0.9827881126930267,0.984641801052209,0.9805926682009438,0.9838540749467515,0.9855740798021777
2017-10-26,1.0065114305140563,0.9843812149117798,0.9860590387301992,1.0065114305140563,0.9855707453951622,0.9874211611788355
2017-10-27,0.9851620042495959,0.9808787125019955,0.9829348994327413,0.9851620042495959,0.9821776697050641,0.9841351626299366
2017-10-28,0.9804112689432014,0.9788699155729197,0.9811406349659197,0.9804112689432014,0.9803077189047905,0.982405300748647
2017-10-29,1.0345813565650195,0.9923663991860495,0.9931873876001416,1.0464329907413181,0.9938240262573866,0.9959505290420577
2017-10-30,1.02609145557984,0.9903352519834282,0.991376228262449,1.0424599495455809,0.9917898956565194,0.9939120459936642
2017-10-31,1.0477921981542309,0.9955662701956959,0.9960354621406562,1.0983854202088763,0.9970285970723204,0.9991619566790478
2017-11-01,1.0467032268460814,0.9953155537911146,0.9958054220319652,1.1480048802804712,0.9967775121552299,0.9989103344850582
2017-11-02,1.0853298649657157,1.0044813121389375,1.0039717218511073,1.1996172802572704,1.005956733230852,1.0081091964045066
2017-11-03,1.1092812078977663,1.0100115274547008,1.0088952574467211,1.2213257585495416,1.011495071411971,1.0136593850116973
2017-11-04,1.110963038830076,1.0103972150159484,1.0092351755124527,1.2501596708736447,1.0118813253506667,1.0140464654069434
2017-11-05,1.1100832883325134,1.010198303742942,1.00905757681519,1.254802740951367,1.0117616669776348,1.0139273192325875
2017-11-06,1.0848012339063318,1.0044537496888812,1.0039506429793188,1.1878908843920803,1.0060411987107223,1.008192720635257
2017-11-07,1.1511828941719497,1.0197811677139548,1.01760269040263,1.208286670883589,1.0195394355818284,1.0217060880623234
2017-11-08,1.1879181655328062,1.0279015104044413,1.0248188255351158,1.2604699541941076,1.0271640278933756,1.0293447893013088
2017-11-09,1.1780899241078193,1.0257743174950014,1.022934639097499,1.2058918719573741,1.024708522398719,1.026879737765976
2017-11-10,1.0852848869174283,0.9156366759399284,0.9743760779644992,1.1137621214448128,0.9888685685885317,0.9909596498376435
2017-11-11,1.090665026022523,0.9297291105913105,1.0186276012340802,1.0690296240699968,1.038913722883108,1.041105632598509
2017-11-12,1.0211607399082647,0.9044061170198723,0.9578719198069037,0.9982085406051227,0.9632918712928201,1.0127334787298843
2017-11-13,1.0848177693717795,0.9356199353479275,1.0155034647299224,1.0955437926227134,1.023532379367476,1.0477207666805775
2017-11-14,1.1865594849022119,0.9661643721791071,1.0812045337347294,1.1082069713989429,1.083838049589737,1.0820028622858753
2017-11-15,1.1887426359286868,0.9382554183628978,1.074423260764584,1.2162894660728503,1.106542307104563,1.0507273908571215
2017-11-16,1.1715721559149856,0.8392795237233117,1.045641167145522,1.3054093225569348,1.0880448376573082,0.9398476871863671
2017-11-17,1.187901353982918,0.9197037647695834,1.0710597811328535,1.2781451168396925,1.1108084902581818,1.0299022937744384
2017-11-18,1.2322280161071195,0.9687129985616854,1.1195186604410445,1.291530992510434,1.147631604490051,1.0847921222923458
2017-11-19,1.227278699705099,0.9408387212208807,1.1215960360168968,1.33173938385371,1.1301545902040213,1.0976125555199607
2017-11-20,1.277452825139002,0.9800158023986872,1.1523768782351547,1.3586667643519112,1.1739432414492235,1.1337998034059318
