Strategy,Total Return,Ann. Return,Ann. Volatility,Downside Std,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Sortino Std (seeds)
Classical Markowitz,-0.40941260346498065,-0.23150315775858954,0.8417638842643728,0.6147802955993122,-0.2750214900950554,-0.266954252102476,-0.24715307404124112,-0.9366792570015124,
NW (Gamma=1.0),-0.6291019199550025,-0.39098597713599614,0.8103331722215653,0.6065395445213745,-0.4825002733925976,-0.46346190999037895,-0.4150951038979008,-0.9419190288309576,
NW (Gamma=0.0),-0.5232329658567931,-0.3095168111074631,0.785344289082273,0.5960689957150476,-0.3941160780186662,-0.37823918340518187,-0.3324548855706732,-0.9310039483287005,
BTC (Buy & Hold),-0.602811601780642,-0.3697711540881693,0.7127541603099122,0.5332390844941601,-0.5187919968469764,-0.4904388194887065,-0.4176069423199987,-0.8854526029522413,
SAC-Net (Sortino),-0.4374067079498031,-0.249937807878442,0.8086896438843092,0.609866094392573,-0.3090651769422164,-0.2994413035756239,-0.26635988019324214,-0.938346299364281,0.06847780206883732
SAC-Net (Sortino+DD),-0.4374067079498031,-0.249937807878442,0.8086896438843092,0.609866094392573,-0.3090651769422164,-0.2994413035756239,-0.26635988019324214,-0.938346299364281,0.06847780206883732
SAC-Net (Sharpe),-0.4374067079498031,-0.249937807878442,0.8086896438843092,0.609866094392573,-0.3090651769422164,-0.2994413035756239,-0.26635988019324214,-0.938346299364281,0.06847780206883732
