Strategy,Upside Capture,Downside Capture,Capture Ratio
Equal Weight,1.1539888434730086,1.0505802938236188,1.0984299346345354
Classical Markowitz,1.083151945240216,1.0031076988202423,1.0797962636655207
NW (Gamma=1.0),0.989704748297874,0.9793764390262846,1.0105458012466157
SAC-Net (Sortino),0.9892075642050809,0.9800296222185675,1.0093649638525586
SAC-Net (Omega),0.9892075642050809,0.9800296222185675,1.0093649638525586
SAC-Net (Calmar+DD),0.9892075642050809,0.9800296222185675,1.0093649638525586
