Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown
Equal Weight,-0.3509332548245133,-0.19435321314146192,0.8746977258446272,-0.22219471641336463,-0.20628853173459658,-0.9421425975900095
Classical Markowitz,-0.40941260346498065,-0.23150315775858954,0.8426002122245246,-0.27474851584407356,-0.24715307404124112,-0.9366792570015124
NW (Gamma=1.0),-0.6291019199550025,-0.39098597713599614,0.8111382724422278,-0.4820213648146452,-0.4150951038979008,-0.9419190288309576
NW (Gamma=0.0),-0.5232329658567931,-0.3095168111074631,0.7861245617924514,-0.39372489571084046,-0.3324548855706732,-0.9310039483287005
SAC-Net (Sharpe Incr),-0.4374067079498031,-0.249937807878442,0.8094931111901755,-0.30875841242301033,-0.26635988019324214,-0.938346299364281
SAC-Net (Total Return),-0.4374067079498031,-0.249937807878442,0.8094931111901755,-0.30875841242301033,-0.26635988019324214,-0.938346299364281
TD3-Net (Sharpe Incr),-0.5583911844869919,-0.33546345810556955,0.8092314564792311,-0.4145457463617261,-0.3577680955354209,-0.9376561585334456
TD3-Net (Total Return),-0.5583911844869919,-0.33546345810556955,0.8092314564792311,-0.4145457463617261,-0.3577680955354209,-0.9376561585334456
