Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Excess NW),RL-Net (Risk-Adj),BTC (Buy & Hold)
2017-10-15,-0.00041171553601165173,-0.0003604246685117679,-0.0003604246685117679,-0.00041171553601164956,-0.02669148286716854
2017-10-16,-0.0005800431501051281,-0.0005206486590792328,-0.0005206486590792328,-0.0005800431501051286,0.008313063950489405
2017-10-17,-0.012953916726731376,-0.011569518112896127,-0.011569518112896127,-0.012953916726731378,-0.02119557284855382
2017-10-18,0.0022597688435389814,0.0020200428480793837,0.0020200428480793837,0.0022597688435389827,-0.002647296986752327
2017-10-19,0.0005540087461034147,0.0004892109349761804,0.0004892109349761804,0.0005540087461034129,0.0208570953230622
2017-10-20,0.007669369142784079,0.006838763446444194,0.006838763446444194,0.0076693691427840785,0.0517062173997819
2017-10-21,-0.0040496430328880095,-0.003619647812293439,-0.003619647812293439,-0.004049643032888011,0.003346315203621704
2017-10-22,-0.0035005919569768233,-0.003121271000190146,-0.003121271000190146,-0.00350059203483178,-0.003850525893446907
2017-10-23,-0.005843461899034362,-0.005208647047576788,-0.005208647047576788,-0.005843462016553862,-0.01308366099373922
2017-10-24,-0.006458015711962773,-0.005742776448043085,-0.005742776448043085,-0.006458015737089897,-0.07049808413802779
2017-10-25,0.0061405801861695005,0.0054671465501293665,0.0054671465501293665,0.006140580261044366,0.0397588809285741
2017-10-26,0.0016210027351549145,0.0014393434002859767,0.0014393434002859767,0.0016210027251313992,0.02643173170024279
2017-10-27,-0.003558075222004511,-0.003168308564445653,-0.003168308564445653,-0.003558075268803847,-0.02121131029138602
2017-10-28,-0.002047956493980737,-0.0018254153635779203,-0.0018254153635779203,-0.0020479565347250026,-0.004822288401198703
2017-10-29,0.013787821444313574,0.012278313836874407,0.012278313836874407,0.013787821444313576,0.06734084346998825
2017-10-30,-0.0020467714387420533,-0.0018235826998054673,-0.0018235826998054673,-0.0020467714387420533,-0.003796746882877619
2017-10-31,0.00528206806916259,0.004699763566424439,0.004699763566424439,0.0052820680691625915,0.05364759642581373
2017-11-01,-0.00025183296389905217,-0.0002309557414719443,-0.0002309557414719443,-0.00025183296389904956,0.04517490778615678
2017-11-02,0.009208896930135435,0.008200698287501303,0.008200698287501303,0.009208896930135435,0.04495834544204169
2017-11-03,0.005505543257930042,0.0049040580411329,0.0049040580411329,0.005505543257930042,0.0180961700448459
2017-11-04,0.000381864514179946,0.00033692106610931595,0.00033692106610931595,0.00038186451417994687,0.023608699089706
2017-11-05,-0.00019686443118625325,-0.0001759735506370455,-0.0001759735506370455,-0.0001968644311862533,0.003713981650421861
2017-11-06,-0.005686560779974023,-0.005061092600870084,-0.005061092600870084,-0.005686560779974022,-0.05332460184821985
2017-11-07,0.015259456226651534,0.013598325294954396,0.013598325294954396,0.015259456226651532,0.01716974745702057
2017-11-08,0.007962828641648758,0.007091309015339267,0.007091309015339267,0.007962828641648757,0.0431878332915468
2017-11-09,-0.002069452070950793,-0.0018385556458070376,-0.0018385556458070376,-0.002069452070950793,-0.04329978834888477
2017-11-10,-0.10737024672642935,-0.047469857092571774,-0.047469857092571774,-0.10737024672642931,-0.07639967782768012
2017-11-11,0.015390858646980025,0.045415239834319235,0.045415239834319235,0.015390858646980032,-0.04016342135678608
2017-11-12,-0.027236958897987718,-0.05964464476867729,-0.027246126589289342,-0.02726998470703983,-0.0662480083528882
2017-11-13,0.034513055297446006,0.06016623280348021,0.0345347835623868,0.034560057371547034,0.0975099371105213
2017-11-14,0.03264620138712727,0.06469802544916024,0.03271350074234109,0.03196204901076328,0.01155880655935634
2017-11-15,-0.028886341309877592,-0.006271961278890719,-0.028892555607643634,-0.02913442121534162,0.09752915968167002
2017-11-16,-0.10548928650183853,-0.026788412602478592,-0.10549880069096478,-0.10609134180547383,0.07327191344658618
2017-11-17,0.09582533443623652,0.0243091174926877,0.09581831744200814,0.09591476897540925,-0.02088556075564038
2017-11-18,0.053288064776358036,0.045243860484553214,0.05329728820509849,0.053136803177910835,0.01047289192313236
2017-11-19,-0.028774546622365452,0.0018555970965538286,-0.028676129040185613,-0.028634306755990012,0.03113234725023538
2017-11-20,0.0416405918401917,0.027443786559347306,0.04154891582244377,0.0415166248849467,0.02021970726755887
2017-11-21,-0.03408771387885766,-0.02625215138176129,-0.03406025647047726,-0.03404137915582182,-0.01590258224989855
2017-11-22,0.05983912595339213,0.04095465806145654,0.05990755116324852,0.059946899478546777,0.02233381227401497
2017-11-23,0.10084708612836264,0.04715558136078667,0.10102404758450657,0.10108348160965544,-0.02636729831656395
2017-11-24,0.019743814025540117,0.060625143418545864,0.02002152387556118,0.020121647313993192,0.02638433629480957
2017-11-25,0.013486195480435564,0.03449344707505519,0.013365811239231798,0.013300346116852503,0.06305893658721441
2017-11-26,0.061639675457270234,0.014402620532806127,0.044423658825315356,0.061396174932545684,0.05957458008958222
2017-11-27,0.0028321554758390737,0.021864414474088198,0.01177731758314782,0.002715457185266069,0.05095910220949361
2017-11-28,0.010465441539599109,0.043462347884016234,0.029682196121059705,0.010645725025606215,0.02419480982177419
2017-11-29,-0.10724710572559466,-0.12199741313048415,-0.1111241130214502,-0.10742822024445287,-0.01706422854203888
2017-11-30,0.0449133931387926,0.04413409697013801,0.047560081328581506,0.04487782313929522,0.03429276074330862
2017-12-01,0.05122046960405481,0.04979269804621846,0.04902617331581016,0.05116246903316962,0.06999820553385039
2017-12-02,0.011587148467846295,-0.0004223630480105534,0.008760414222130749,0.01136695991473773,0.008979571044842705
2017-12-03,0.04406464444052258,0.019772019264145377,0.044065239960802305,0.043741773027952555,0.02219957296295529
2017-12-04,0.023454365111160176,0.019137360334892634,0.023455057406862323,0.023161784590754075,0.02907029602992279
2017-12-05,-0.022178320673646054,-0.010047618745298362,-0.022184303258007885,-0.02189753423462112,0.02201676244242192
2017-12-06,0.014919238498103997,0.013752046644902175,0.014968009387179994,0.009927752347944109,0.1817241608818086
2017-12-07,0.024611703876336433,0.05063541709057062,0.02462982567199041,0.021328149675788468,0.2251189543413278
2017-12-08,0.07821557403832462,0.05675548772696153,0.07826180217969192,0.0776687594294304,-0.07722626494389065
2017-12-09,-0.004230020953847613,0.014568368634953708,-0.004178504989254631,-0.0043918150078700625,-0.08769744361032222
2017-12-10,-0.04242664371447789,-0.04289283345156178,-0.04289283345156178,-0.04162150326920752,0.01809828138568269
2017-12-11,0.14684565080873518,0.16323873456721918,0.16323873456721918,0.14628537022852034,0.09153033338474723
2017-12-12,0.180910138515131,0.19252790650287296,0.19252790650287296,0.1888928264476664,0.02786607918922804
2017-12-13,0.03172286507403209,0.03222154660086286,0.03222154660086286,0.06510974277153413,-0.05957373243077356
2017-12-14,0.0895649608749581,0.038497582711740495,0.038497582711740495,0.09398325890119316,0.009450503424906668
2017-12-15,0.00452267743347254,0.010688263493250404,0.010688263493250404,0.0030225648204257284,0.06672275050137494
2017-12-16,0.05677270430150048,0.03385308706536395,0.03385308706536395,0.08317532110751424,0.09632672719671541
2017-12-17,0.014959035234559154,0.05732472163741735,0.05732472163741735,0.014958419033577726,-0.01845892013095586
2017-12-18,0.06315777618931626,0.03885989720447792,0.03885989720447792,0.06315787315349844,-0.001390749799382846
2017-12-19,0.0397114443532683,0.025799505637994796,0.025799505637994796,0.03971265198036209,-0.07254290633921227
2017-12-20,-0.031916807189039456,-0.06211066211424235,-0.06211066211424235,-0.031917090276096224,-0.06700506450657447
2017-12-21,-0.05571221513244402,-0.038497333797681506,-0.038497333797681506,-0.05571262594803238,-0.05069001039219793
2017-12-22,-0.18513685254398132,-0.18026055577090588,-0.18026055577090588,-0.18513741676869067,-0.1332232172821606
2017-12-23,0.08963331226595189,0.0956330303702105,0.0956330303702105,0.08963311246410052,0.06082280889142556
2017-12-24,-0.05333368969267565,-0.052400107740191555,-0.053333694824216134,-0.052400107740191555,-0.05404986305608948
2017-12-25,0.06948256383648377,0.06981991147987261,0.06948256441606784,0.06981991147987261,0.007212278283202518
2017-12-26,0.1430167504172425,0.1449579186966033,0.14301677877212343,0.1449579186966033,0.1378513383721832
2017-12-27,0.03528380183363488,0.035734752238044315,0.035283815153767294,0.035734752238044315,-0.01636315248910703
2017-12-28,-0.040011301585927826,-0.039597595484101716,-0.04001128471263102,-0.039597595484101716,-0.08097704981335378
2017-12-29,0.055712566786507906,0.05702404024543645,0.055712601187462955,0.05702404024543645,0.003396832333957667
2017-12-30,-0.07879264870942672,-0.07833907185433928,-0.07879263699428261,-0.07833907185433928,-0.1235977944869119
2017-12-31,0.09789849156674378,0.09407404685712396,0.09789848801596973,0.09407404685712396,0.08890117328095244
2018-01-01,0.05808741625593816,0.06092940402419525,0.058087418415194776,0.06092940402419525,-0.0358999768524143
2018-01-02,0.10367852974756264,0.11009260365798913,0.10367850253357438,0.11009260365798913,0.0925892597121414
2018-01-03,0.16785471765969884,0.1711618316060329,0.16785474541800272,0.1711618316060329,0.01450508605496911
2018-01-04,-0.013529034993509258,-0.0030874646063230385,-0.013529081766756325,-0.0030874646063230385,0.02585842824803167
