Metric,Value,Signif.
Pearson (Vol),0.23056894298980715,*
Pearson (Mom),0.2950929116524976,*
Spearman (Vol),0.11507736653832563,
Spearman (Mom),0.2271849299283532,*
Mean Gamma High Vol,0.5045496729231372,
Mean Gamma Low Vol,0.3046676144003868,
T-test p-value,0.25602125233694095,
