Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Omega Ratio,Max Drawdown
Equal Weight,-0.3509332548245133,-0.19435321314146192,0.8746977258446272,-0.22219471641336463,-0.30453096590902434,-0.20628853173459658,1.036110323320956,-0.9421425975900095
Classical Markowitz,-0.40941260346498065,-0.23150315775858954,0.8426002122245246,-0.27474851584407356,-0.38366810749163865,-0.24715307404124112,1.0203428813603976,-0.9366792570015124
NW (Gamma=1.0),-0.6291019199550025,-0.39098597713599614,0.8111382724422278,-0.4820213648146452,-0.6633766664813443,-0.4150951038979008,0.9642226778910816,-0.9419190288309576
BTC (Buy & Hold),-0.602811601780642,-0.3697711540881693,0.7134623116622387,-0.5182770666984063,-0.715194049253804,-0.4176069423199987,0.9482879400771884,-0.8854526029522413
SAC-Net (Sortino),-0.6320997393481376,-0.3934521777700769,0.8105342088963363,-0.48542328436182963,-0.6673398828302772,-0.4178266520308849,0.9632444388441962,-0.9416636680730307
SAC-Net (Omega),-0.6320997393481376,-0.3934521777700769,0.8105342088963363,-0.48542328436182963,-0.6673398828302772,-0.4178266520308849,0.9632444388441962,-0.9416636680730307
SAC-Net (Calmar+DD),-0.6320997393481376,-0.3934521777700769,0.8105342088963363,-0.48542328436182963,-0.6673398828302772,-0.4178266520308849,0.9632444388441962,-0.9416636680730307
