Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown
NW (Gamma=1.0),0.053620990478181696,0.018119450583779617,0.5307595976905936,0.034138714895820606,-0.7801687941538865
NW (Gamma=0.0),-0.021746224414631032,-0.007530184299333831,0.5017161290241354,-0.015008854337572205,-0.8027364882849894
RL-Net (Defensive),1.1761995962800125,0.3064666678751016,0.698768593471073,0.43858105635909406,-0.8442810112696071
RL-Net (Total Return),1.852299897670362,0.4338137855859334,0.5859450505929529,0.7403659867882343,-0.6806813063700703
