Date,RL-Net (Excess NW),RL-Net (Risk-Adj)
2024-02-01,2.0,0.8542027175426483
2024-02-02,2.0,0.8542027175426483
2024-02-03,2.0,0.8542027175426483
2024-02-04,2.0,0.8542027175426483
2024-02-05,2.0,0.8542027175426483
2024-02-06,2.0,0.8542027175426483
2024-02-07,2.0,0.8542027175426483
2024-02-08,1.8419715762138367,0.8435617089271545
2024-02-09,1.8419715762138367,0.8435617089271545
2024-02-10,1.8419715762138367,0.8435617089271545
2024-02-11,1.8419715762138367,0.8435617089271545
2024-02-12,1.8419715762138367,0.8435617089271545
2024-02-13,1.8419715762138367,0.8435617089271545
2024-02-14,1.8419715762138367,0.8435617089271545
2024-02-15,1.6430960893630981,0.9228017926216125
2024-02-16,1.6430960893630981,0.9228017926216125
2024-02-17,1.6430960893630981,0.9228017926216125
2024-02-18,1.6430960893630981,0.9228017926216125
2024-02-19,1.6430960893630981,0.9228017926216125
2024-02-20,1.6430960893630981,0.9228017926216125
2024-02-21,1.6430960893630981,0.9228017926216125
2024-02-22,2.0,0.8663402497768402
2024-02-23,2.0,0.8663402497768402
2024-02-24,2.0,0.8663402497768402
2024-02-25,2.0,0.8663402497768402
2024-02-26,2.0,0.8663402497768402
2024-02-27,2.0,0.8663402497768402
2024-02-28,2.0,0.8663402497768402
2024-02-29,1.242399424314499,0.8925276920199394
2024-03-01,1.242399424314499,0.8925276920199394
2024-03-02,1.242399424314499,0.8925276920199394
2024-03-03,1.242399424314499,0.8925276920199394
2024-03-04,1.242399424314499,0.8925276920199394
2024-03-05,1.242399424314499,0.8925276920199394
2024-03-06,1.242399424314499,0.8925276920199394
2024-03-07,1.2667746841907501,1.2098419666290283
2024-03-08,1.2667746841907501,1.2098419666290283
2024-03-09,1.2667746841907501,1.2098419666290283
2024-03-10,1.2667746841907501,1.2098419666290283
2024-03-11,1.2667746841907501,1.2098419666290283
2024-03-12,1.2667746841907501,1.2098419666290283
2024-03-13,1.2667746841907501,1.2098419666290283
2024-03-14,1.8401886820793152,1.0878732353448868
2024-03-15,1.8401886820793152,1.0878732353448868
2024-03-16,1.8401886820793152,1.0878732353448868
2024-03-17,1.8401886820793152,1.0878732353448868
2024-03-18,1.8401886820793152,1.0878732353448868
2024-03-19,1.8401886820793152,1.0878732353448868
2024-03-20,1.8401886820793152,1.0878732353448868
2024-03-21,2.0,1.1828660815954208
2024-03-22,2.0,1.1828660815954208
2024-03-23,2.0,1.1828660815954208
2024-03-24,2.0,1.1828660815954208
2024-03-25,2.0,1.1828660815954208
2024-03-26,2.0,1.1828660815954208
2024-03-27,2.0,1.1828660815954208
2024-03-28,1.651128888130188,0.9445591866970062
2024-03-29,1.651128888130188,0.9445591866970062
2024-03-30,1.651128888130188,0.9445591866970062
2024-03-31,1.651128888130188,0.9445591866970062
2024-04-01,1.651128888130188,0.9445591866970062
2024-04-02,1.651128888130188,0.9445591866970062
2024-04-03,1.651128888130188,0.9445591866970062
2024-04-04,2.0,1.036293812096119
2024-04-05,2.0,1.036293812096119
2024-04-06,2.0,1.036293812096119
2024-04-07,2.0,1.036293812096119
2024-04-08,2.0,1.036293812096119
2024-04-09,2.0,1.036293812096119
2024-04-10,2.0,1.036293812096119
2024-04-11,1.7636892199516296,0.9665719643235207
2024-04-12,1.7636892199516296,0.9665719643235207
2024-04-13,1.7636892199516296,0.9665719643235207
2024-04-14,1.7636892199516296,0.9665719643235207
2024-04-15,1.7636892199516296,0.9665719643235207
2024-04-16,1.7636892199516296,0.9665719643235207
2024-04-17,1.7636892199516296,0.9665719643235207
2024-04-18,2.0,1.115857057273388
2024-04-19,2.0,1.115857057273388
2024-04-20,2.0,1.115857057273388
2024-04-21,2.0,1.115857057273388
2024-04-22,2.0,1.115857057273388
2024-04-23,2.0,1.115857057273388
2024-04-24,2.0,1.115857057273388
2024-04-25,1.431607335805893,0.9653164520859718
2024-04-26,1.431607335805893,0.9653164520859718
2024-04-27,1.431607335805893,0.9653164520859718
2024-04-28,1.431607335805893,0.9653164520859718
2024-04-29,1.431607335805893,0.9653164520859718
2024-04-30,1.431607335805893,0.9653164520859718
2024-05-01,1.431607335805893,0.9653164520859718
2024-05-02,2.0,0.9298642352223396
2024-05-03,2.0,0.9298642352223396
2024-05-04,2.0,0.9298642352223396
2024-05-05,2.0,0.9298642352223396
2024-05-06,2.0,0.9298642352223396
2024-05-07,2.0,0.9298642352223396
2024-05-08,2.0,0.9298642352223396
2024-05-09,1.9064580798149109,0.8302678912878036
2024-05-10,1.9064580798149109,0.8302678912878036
2024-05-11,1.9064580798149109,0.8302678912878036
2024-05-12,1.9064580798149109,0.8302678912878036
2024-05-13,1.9064580798149109,0.8302678912878036
2024-05-14,1.9064580798149109,0.8302678912878036
2024-05-15,1.9064580798149109,0.8302678912878036
2024-05-16,1.8235549330711365,0.9483244195580482
2024-05-17,1.8235549330711365,0.9483244195580482
2024-05-18,1.8235549330711365,0.9483244195580482
2024-05-19,1.8235549330711365,0.9483244195580482
2024-05-20,1.8235549330711365,0.9483244195580482
2024-05-21,1.8235549330711365,0.9483244195580482
2024-05-22,1.8235549330711365,0.9483244195580482
2024-05-23,1.6232162117958069,1.0386707335710526
2024-05-24,1.6232162117958069,1.0386707335710526
2024-05-25,1.6232162117958069,1.0386707335710526
2024-05-26,1.6232162117958069,1.0386707335710526
2024-05-27,1.6232162117958069,1.0386707335710526
2024-05-28,1.6232162117958069,1.0386707335710526
2024-05-29,1.6232162117958069,1.0386707335710526
2024-05-30,2.0,0.8277844041585922
2024-05-31,2.0,0.8277844041585922
2024-06-01,2.0,0.8277844041585922
2024-06-02,2.0,0.8277844041585922
2024-06-03,2.0,0.8277844041585922
2024-06-04,2.0,0.8277844041585922
2024-06-05,2.0,0.8277844041585922
2024-06-06,1.735762596130371,0.8429805040359497
2024-06-07,1.735762596130371,0.8429805040359497
2024-06-08,1.735762596130371,0.8429805040359497
2024-06-09,1.735762596130371,0.8429805040359497
2024-06-10,1.735762596130371,0.8429805040359497
2024-06-11,1.735762596130371,0.8429805040359497
2024-06-12,1.735762596130371,0.8429805040359497
2024-06-13,2.0,0.917638510465622
2024-06-14,2.0,0.917638510465622
2024-06-15,2.0,0.917638510465622
2024-06-16,2.0,0.917638510465622
2024-06-17,2.0,0.917638510465622
2024-06-18,2.0,0.917638510465622
2024-06-19,2.0,0.917638510465622
2024-06-20,2.0,0.9480744749307632
2024-06-21,2.0,0.9480744749307632
2024-06-22,2.0,0.9480744749307632
2024-06-23,2.0,0.9480744749307632
2024-06-24,2.0,0.9480744749307632
2024-06-25,2.0,0.9480744749307632
2024-06-26,2.0,0.9480744749307632
2024-06-27,1.982726514339447,0.8916085883975029
2024-06-28,1.982726514339447,0.8916085883975029
2024-06-29,1.982726514339447,0.8916085883975029
2024-06-30,1.982726514339447,0.8916085883975029
2024-07-01,1.982726514339447,0.8916085883975029
2024-07-02,1.982726514339447,0.8916085883975029
2024-07-03,1.982726514339447,0.8916085883975029
2024-07-04,1.874209702014923,0.9028688296675682
2024-07-05,1.874209702014923,0.9028688296675682
2024-07-06,1.874209702014923,0.9028688296675682
2024-07-07,1.874209702014923,0.9028688296675682
2024-07-08,1.874209702014923,0.9028688296675682
2024-07-09,1.874209702014923,0.9028688296675682
2024-07-10,1.874209702014923,0.9028688296675682
2024-07-11,1.1110632345080376,1.0752995535731316
2024-07-12,1.1110632345080376,1.0752995535731316
2024-07-13,1.1110632345080376,1.0752995535731316
2024-07-14,1.1110632345080376,1.0752995535731316
2024-07-15,1.1110632345080376,1.0752995535731316
2024-07-16,1.1110632345080376,1.0752995535731316
