Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Excess NW),RL-Net (Risk-Adj),BTC (Buy & Hold)
2024-02-01,0.013067240153377086,0.01300679235907906,0.013067233328885713,0.013067811860740743,0.01151489029423974
2024-02-02,0.004982628069200895,0.004928211855048581,0.004982630044125544,0.0049827126451172325,0.002552374530244358
2024-02-03,0.0032261079187509947,0.003176008301635161,0.003226113653247048,0.0032263706192339177,-0.004493245492150753
2024-02-04,0.00086941799671884,0.00411073197319783,0.0008694157328809979,0.0008699214114236499,-0.009551086228745845
2024-02-05,-0.00023096315095365834,-0.002411089892981553,-0.00023096584850397118,-0.00023095885376293388,0.001761707531647928
2024-02-06,0.011102914819918437,0.009317660051252404,0.011102908742661928,0.011102724573287393,0.009936804708699247
2024-02-07,0.018892062838653186,0.0184088843400011,0.01889205684020296,0.018892259928701867,0.02822864621028068
2024-02-08,0.01132490091687881,0.010856709981527234,0.011325487187362515,0.011324900933560344,0.02194567128211481
2024-02-09,0.021927263965895397,0.02166686060624104,0.021917883344813097,0.02192726402149264,0.0399329954084116
2024-02-10,0.00011665682848869016,-0.0002950697787161961,0.00012068734487733838,0.00011665678971109223,0.01314996069506419
2024-02-11,0.01580639018431688,0.013583409793174107,0.015786796422435436,0.015806390217039678,0.01088106425858389
2024-02-12,0.024154727470956656,0.02353679065422025,0.02414043526564311,0.024154727454989422,0.03388147853165121
2024-02-13,-0.016499589074441233,-0.016829080631976412,-0.016487930501295794,-0.016499589090751075,-0.004328588760117502
2024-02-14,0.030414973703203268,0.030358959100486624,0.030404537171273907,0.030414973708434146,0.04104684951040893
2024-02-15,0.01402833123517189,0.01494391488530197,0.014062537022490516,0.014028331140694067,0.002156009229108385
2024-02-16,0.005616854242111016,0.004484013386454078,0.00562294863972094,0.005616854265430809,0.004258432609761565
2024-02-17,-0.008436704141264425,-0.009856969507401399,-0.008420054911087977,-0.008436704154373994,-0.00957802949778828
2024-02-18,0.009092528369185988,0.009512192717478182,0.00907152587074016,0.009092528318450501,0.008855834280713763
2024-02-19,0.013045551838298428,0.01118289370636488,0.013039966847924366,0.013045551827382972,-0.006610163694046543
2024-02-20,0.0017881433910334485,0.0018904825412743172,0.0018023486177706923,0.001788143273812022,0.009719679337319471
2024-02-21,-0.005543575623507113,-0.008355464441257992,-0.005521021458299522,-0.005543575602475802,-0.00856090431522995
2024-02-22,-0.0028783766910171924,-0.0016750008920809547,-0.002878376659999658,-0.002877051686981133,-0.01035854764001426
2024-02-23,-0.0014166867439941333,-0.0016380011447465455,-0.0014166866483475836,-0.001422557890906202,-0.01123180611551257
2024-02-24,0.013593011726599036,0.013610563662177418,0.013593011681938804,0.0135878464753341,0.01640559413021775
2024-02-25,0.005915409189209343,0.005253686159023483,0.005915409120682377,0.005914926884020848,0.003139013368236927
2024-02-26,0.026419172532795496,0.02492940352345845,0.026419172596935027,0.026419199246054372,0.05251118765694542
2024-02-27,0.030937321781171846,0.03212737189815206,0.030937321760836193,0.03092414135885779,0.04593621644047315
2024-02-28,0.022501039275857827,0.018278232520951145,0.022501039391437994,0.022501925100667456,0.09069529297704289
2024-02-29,0.005587504665838625,0.005762078233059246,0.005762078233059246,0.005587504665838618,-0.02112241427001975
2024-03-01,0.034554964802160526,0.0353760881237145,0.0353760881237145,0.034554964802160526,0.0200954657884248
2024-03-02,0.10437200857671546,0.10225067435777109,0.10225067435777109,0.10437200857671544,-0.006600547312091193
2024-03-03,-0.017449967687207198,-0.017729397938558045,-0.017729397938558045,-0.017449967687207194,0.01817220465901261
2024-03-04,0.022105983020341512,0.027750582637469462,0.027750582637469462,0.02210598302034151,0.0785670808490068
2024-03-05,-0.073050008604404,-0.07573266292263638,-0.07573266292263638,-0.07305000860440398,-0.06858298181492034
2024-03-06,0.04430682600373774,0.04411533223595003,0.04411533223595003,0.04430682600373775,0.03549970020086634
2024-03-07,0.027999486699775124,0.028510961874180053,0.027999432675071583,0.027983382960868296,0.0123081400525154
2024-03-08,0.009590574014905052,0.009928231676288663,0.00959040623361464,0.009581467597304804,0.02033131223698798
2024-03-09,0.0022067330316900644,0.002352217408578212,0.002206735743379459,0.002210620064914536,0.002906296632019191
2024-03-10,0.008164385018946233,0.008575137118092479,0.008164065225840482,0.008132250397163785,0.007575825657206857
2024-03-11,0.03287164623138822,0.03230308110398692,0.03287249542151137,0.03289292473164857,0.04399229858274628
2024-03-12,-0.010509596681266492,-0.01059807762813598,-0.010509899341026124,-0.010533848338628709,-0.008949836049347838
2024-03-13,0.03847440131090989,0.03914142502844042,0.03847412953506194,0.03844698168466906,0.02216689906407544
2024-03-14,-0.030389586117730353,-0.030727940400088995,-0.030389586815464283,-0.030388384300185572,-0.0233524614583823
2024-03-15,-0.010628266101389556,-0.010598148421843225,-0.010628263759217566,-0.010638363491225968,-0.02830892329200056
2024-03-16,-0.05325658729021502,-0.05335817043273633,-0.05325658956216922,-0.05325654425209392,-0.06071772520629676
2024-03-17,0.017818511338008023,0.017545704170623226,0.017818508937873886,0.017825873305375117,0.0460122407046103
2024-03-18,-0.02206901944256959,-0.022424574334463942,-0.02206900533864051,-0.022071717369346,-0.01238850755436863
2024-03-19,-0.09663206950980338,-0.09696136675096327,-0.09663206683526276,-0.09663395545563716,-0.08712073185700822
2024-03-20,0.08973141264107327,0.09041717471891603,0.08973140212755111,0.08973602789792243,0.09251085296877404
2024-03-21,-0.011257946770496225,-0.009735387436434161,-0.0112579442347888,-0.009735387436434161,-0.03631867422621332
2024-03-22,-0.025563119194478814,-0.025905586303601565,-0.02556312211896395,-0.025905586303601565,-0.02649844665215931
2024-03-23,0.003851665424567934,0.003973146566765332,0.0038516647617236255,0.003973146566765332,0.004434288665400014
2024-03-24,0.03112235246371811,0.03091763759860495,0.031122352039264483,0.03091763759860495,0.04832709315067971
2024-03-25,0.02759970747092296,0.02731315072201322,0.02759970888512106,0.02731315072201322,0.0397250476948794
2024-03-26,-0.0029126342650157076,-0.0032922082028416203,-0.002912634402574555,-0.0032922082028416203,0.0004147786065640333
2024-03-27,-0.012551766581270156,-0.013060852545920897,-0.012551768884678608,-0.013060852545920897,-0.007637444542951766
2024-03-28,0.014946081808195108,0.014953311209191794,0.014953311209191794,0.014946088760283763,0.01839718997188087
2024-03-29,0.02397331698151158,0.023880088684046338,0.023880088684046338,0.02397334406391097,-0.01211815801220442
2024-03-30,-0.010255373953800197,-0.010175191998310866,-0.010175191998310866,-0.010255382132207011,-0.003547757048682065
2024-03-31,0.01860062627438382,0.018544659414632764,0.018544659414632764,0.01860065883768222,0.02395285869630247
2024-04-01,-0.03839602572508457,-0.03840061509158682,-0.03840061509158682,-0.03839602880761519,-0.02313700233325798
2024-04-02,-0.043257661757787794,-0.0434085854502671,-0.0434085854502671,-0.043257634008082746,-0.06299090436988572
2024-04-03,0.005865404702881858,0.006041169266674621,0.006041169266674621,0.005865367341014122,0.00812374307331999
2024-04-04,0.02635753831530225,0.026353674378680407,0.026357542120033772,0.026353674378680407,0.03759886271186141
2024-04-05,-0.009601910937939342,-0.009611773661217831,-0.009601913586540604,-0.009611773661217831,-0.009845630418288566
2024-04-06,0.013472969161734814,0.013473770876286201,0.013472970090654431,0.013473770876286201,0.01548249636256502
2024-04-07,0.006842416521646057,0.006808383417656983,0.00684240751435515,0.006808383417656983,0.006747455363626304
2024-04-08,0.024000332467180654,0.023909747748754925,0.024000311976415317,0.023909747748754925,0.03218579409702191
2024-04-09,-0.02279593481073123,-0.022713214147328947,-0.022795918241343284,-0.022713214147328947,-0.0354137612037884
2024-04-10,0.01294653618921323,0.012901122111682026,0.012946528812482396,0.012901122111682026,0.02073930124253475
2024-04-11,-0.0019975619349268513,-0.001866268911084905,-0.0019975604799598607,-0.001997565595213269,-0.00749778258451207
2024-04-12,-0.051833698629343956,-0.04975635765943032,-0.05183379509295945,-0.051833816350002476,-0.04174897018143468
2024-04-13,-0.06865035062135647,-0.06749902446142798,-0.06865040680564749,-0.0686504258171528,-0.05152204971523435
2024-04-14,0.028535293832393404,0.027799618776924502,0.028535322179969284,0.028535332137539542,0.02959850149495867
2024-04-15,-0.019436144422437802,-0.019257039943321196,-0.019436143083399242,-0.019436144593154753,-0.03581099949650861
2024-04-16,-0.004151615446325553,-0.004357906458437702,-0.004151610538949359,-0.004151611253016625,0.006061920177228911
2024-04-17,-0.017256204056043712,-0.017093515219695564,-0.01725619587554382,-0.01725619642987975,-0.04053958534994488
2024-04-18,0.01740454918566027,0.01862909225480405,0.01740455285629624,0.01862909225480405,0.03584120208614769
2024-04-19,0.004824136472823867,0.005117396908826768,0.004824133167364065,0.005117396908826768,0.005195142876912206
2024-04-20,0.020628586250335635,0.018962548337652343,0.02062857770908297,0.018962548337652343,0.01786587188650423
2024-04-21,0.0037565102421667365,0.005175371174017514,0.0037565059334242487,0.005175371174017514,-0.001043662476566599
2024-04-22,0.02678487815124108,0.02564378797723931,0.026784851215965196,0.02564378797723931,0.02900890175927592
2024-04-23,0.0010031258532005062,0.002354740411173651,0.0010031371763761932,0.002354740411173651,-0.006460398489914604
2024-04-24,-0.010466321537556415,-0.008606294309114639,-0.010466329589876774,-0.008606294309114639,-0.03260630131627199
2024-04-25,0.01754323463446829,0.017306699133381977,0.017543234995455938,0.017543234769684675,0.003181282769191777
2024-04-26,-0.0006026954902915897,-0.0003803451608259817,-0.0006026959966062197,-0.0006026950439886341,-0.0113289352190161
2024-04-27,0.0009009409850483393,0.0008893949919136977,0.000900942264910411,0.0009009441560342584,-0.005286917956356649
