Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sharpe Std (seeds)
Equal Weight,-0.1843871364668619,-0.22748046326885396,0.6606399622447818,-0.3443334891457374,-0.38898669336220704,-0.5848026864431435,
Classical Markowitz,-0.16280585743922005,-0.20150472614408133,0.6321020248095374,-0.318785129987201,-0.37217675930977573,-0.5414221095314603,
NW (Gamma=1.0),-0.07913254000735725,-0.09913090507308275,0.6226722329175552,-0.15920238583403823,-0.1801684272540913,-0.550212412817916,
NW (Gamma=0.0),-0.07015431180895493,-0.08799399220782345,0.6216344797585829,-0.14155262469031105,-0.1579632157088357,-0.5570536900819846,
BTC (Buy & Hold),0.6451139396647252,0.878346962147917,0.6550184110504965,1.3409500364108142,1.9833992758028895,-0.4428492905405332,
SAC-Net (Excess NW),-0.13813035667364837,-0.17158560963844394,0.6269056858875247,-0.2737024300481918,-0.3118534061884954,-0.5502123954186713,0.0
SAC-Net (Sharpe Incr),-0.08199428381203344,-0.10267465344855564,0.623357266968117,-0.16471237104196168,-0.18660913128254147,-0.5502123756907578,0.0
