Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sharpe Std (seeds)
Classical Markowitz,-0.40941260346498065,-0.23150315775858954,0.8426002122245246,-0.27474851584407356,-0.24715307404124112,-0.9366792570015124,
NW (Gamma=1.0),-0.6291019199550025,-0.39098597713599614,0.8111382724422278,-0.4820213648146452,-0.4150951038979008,-0.9419190288309576,
NW (Gamma=0.0),-0.5232329658567931,-0.3095168111074631,0.7861245617924514,-0.39372489571084046,-0.3324548855706732,-0.9310039483287005,
BTC (Buy & Hold),-0.602811601780642,-0.3697711540881693,0.7134623116622387,-0.5182770666984063,-0.4176069423199987,-0.8854526029522413,
SAC-Net (Sharpe Incr),-0.5187409888497796,-0.3062716589685698,0.803039928361734,-0.38139032462979594,-0.32666473931103573,-0.937571834702831,0.1505960022273438
SAC-Net (Total Return),-0.051161845357481806,-0.025916761953826528,0.8340740130448149,-0.03107249662319118,-0.02795444993778251,-0.9271068474432081,0.03900869216044563
