,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown
Equal Weight,-0.1843871364668619,-0.22748046326885396,0.6606399622447818,-0.3443334891457374,-0.38898669336220704,-0.5848026864431435
Classical Markowitz,-0.16280585743922005,-0.20150472614408133,0.6321020248095374,-0.318785129987201,-0.37217675930977573,-0.5414221095314603
NW (Gamma=1.0),-0.07913254000735725,-0.09913090507308275,0.6226722329175552,-0.15920238583403823,-0.1801684272540913,-0.550212412817916
NW (Gamma=0.0),-0.07015431180895493,-0.08799399220782345,0.6216344797585829,-0.14155262469031105,-0.1579632157088357,-0.5570536900819846
BTC (Buy & Hold),0.6451139396647252,0.878346962147917,0.6550184110504965,1.3409500364108142,1.9833992758028895,-0.4428492905405332
SAC-Net (Sharpe Incr),0.2321544804378366,0.30260326723673714,0.6469580958457716,0.467732406750614,0.5934990501327498,-0.5098631028458308
SAC-Net (Total Return),0.09617706688096406,0.12331668099780058,0.647789584232783,0.19036533466936195,0.23375652130012997,-0.5275432758492715
PPO-Net (Excess NW),-0.07479416248862936,-0.09375302106358807,0.6256742118099313,-0.1498431920222222,-0.17031851272261278,-0.5504570205840031
PPO-Net (Risk-Adj),-0.06165510967458232,-0.07742485431440838,0.6211445482810862,-0.1246486901135472,-0.13976669608018602,-0.553957820323582
