Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown
NW (Gamma=1.0),1.653507341661189,1.0835986701587847,0.40473151133267016,2.6773271658309747,-0.22069368116466317
NW (Gamma=0.0),1.00707846750299,0.6888872095776937,0.337800880488777,2.0393292302285193,-0.2664384934205606
RL-Net (Defensive),0.7735918942717777,0.5388539604948634,0.39096751547650294,1.3782576279722873,-0.33538943636359525
RL-Net (Total Return),1.1303503389243397,0.7663371789774018,0.3469241275967022,2.2089474845297166,-0.22127291413631045
