Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Excess NW),RL-Net (Risk-Adj),BTC (Buy & Hold)
2017-10-15,0.9995882844639884,0.9996395753314883,0.9996395753314883,0.9995882844639884,0.9733085171328315
2017-10-16,0.9990084801266597,0.9991191143270295,0.9991191143270295,0.9990084801266597,0.9813996930793127
2017-10-17,0.9860674074658003,0.9875597876368822,0.9875597876368822,0.9860674074658003,0.9605983643911018
2017-10-18,0.9882956918708209,0.9895547007229489,0.9895547007229489,0.9882956918708209,0.9580553752355699
2017-10-19,0.9888432163278535,0.9900388017032996,0.9900388017032996,0.9888432163278535,0.9780376275216304
2017-10-20,0.9964270199782097,0.9968094428709495,0.9968094428709495,0.9964270199782097,1.0286082537154309
2017-10-21,0.9923918462389736,0.9932013437517883,0.9932013437517883,0.9923918462389736,1.0320503011534097
2017-10-22,0.9889178873238601,0.9901012932001859,0.9901012932001859,0.9889178872465975,1.0280763647454787
2017-10-23,0.9831391833280095,0.9849442050225568,0.9849442050225568,0.9831391831349813,1.014625362113473
2017-10-24,0.976790055035031,0.9792878906393166,0.9792878906393166,0.9767900548185459,0.9430962179666205
2017-10-25,0.9827881126930267,0.984641801052209,0.984641801052209,0.9827881125483491,0.9805926682009438
2017-10-26,0.9843812149117798,0.9860590387301992,0.9860590387301992,0.9843812147570167,1.0065114305140563
2017-10-27,0.9808787125019955,0.9829348994327413,0.9829348994327413,0.9808787123017146,0.9851620042495959
2017-10-28,0.9788699155729197,0.9811406349659197,0.9811406349659197,0.9788699153330837,0.9804112689432014
2017-10-29,0.9923663991860495,0.9931873876001416,0.9931873876001416,0.9923663989429067,1.0464329907413181
2017-10-30,0.9903352519834282,0.991376228262449,0.991376228262449,0.990335251740783,1.0424599495455809
2017-10-31,0.9955662701956959,0.9960354621406562,0.9960354621406562,0.995566269951769,1.0983854202088763
2017-11-01,0.9953155537911146,0.9958054220319652,0.9958054220319652,0.9953155535472491,1.1480048802804712
2017-11-02,1.0044813121389375,1.0039717218511073,1.0039717218511073,1.0044813118928264,1.1996172802572704
2017-11-03,1.0100115274547008,1.0088952574467211,1.0088952574467211,1.0100115272072347,1.2213257585495416
2017-11-04,1.0103972150159484,1.0092351755124527,1.0092351755124527,1.010397214768388,1.2501596708736447
2017-11-05,1.010198303742942,1.00905757681519,1.00905757681519,1.0101983034954303,1.254802740951367
2017-11-06,1.0044537496888812,1.0039506429793188,1.0039506429793188,1.004453749442777,1.1878908843920803
2017-11-07,1.0197811677139548,1.01760269040263,1.01760269040263,1.019781167464095,1.208286670883589
