Date,NW (Gamma=1.0),RL-Net (Defensive),RL-Net (Total Return)
2024-05-01,-9.593501661566209e-05,-9.593501661566209e-05,-9.593501661566209e-05
2024-05-02,0.009182314124117057,0.009182314124117057,0.009182314124117057
2024-05-03,0.02784030679213565,0.02784030679213565,0.02784030679213565
2024-05-04,0.0009209358125228024,0.0009209358125228024,0.0009209358125228024
2024-05-05,0.002338075884430314,0.002338075884430314,0.002338075884430314
2024-05-06,-0.0060208554118811545,-0.0060208554118811545,-0.0060208554118811545
2024-05-07,-0.011248062630804991,-0.011248062630804991,-0.011248062630804991
2024-05-08,-0.005111950177809316,-0.005111950177809316,-0.005111950177809316
2024-05-09,0.016648448766373704,0.016648448766373704,0.016648448766373704
2024-05-10,-0.02747972403128076,-0.02747972403128076,-0.02747972403128076
2024-05-11,0.0013267911259991667,0.0013267911259991667,0.0013267911259991667
2024-05-12,0.000650868817660654,0.000650868817660654,0.000650868817660654
2024-05-13,0.0029143250176962643,0.0029143250176962643,0.0029143250176962643
2024-05-14,-0.020191604645368212,-0.020191604645368212,-0.020191604645368212
2024-05-15,0.04308912435507477,0.04308912435507477,0.04308912435507477
2024-05-16,-0.012660952055508996,-0.012660952055508996,-0.012660952055508996
2024-05-17,0.021681757646641677,0.021681757646641677,0.021681757646641677
2024-05-18,-0.0009039241663207783,-0.0009039241663207783,-0.0009039241663207783
2024-05-19,-0.013678429268293775,-0.013678429268293775,-0.013678429268293775
2024-05-20,0.06564456501840805,0.06564456501840805,0.06564456501840805
2024-05-21,0.0050162427436122245,0.0050162427436122245,0.0050162427436122245
2024-05-22,-0.01883509808632798,-0.01883509808632798,-0.01883509808632798
2024-05-23,-0.013077826987562243,-0.013077826987562243,-0.013077826987562243
2024-05-24,0.005223968071553985,0.005223968071553985,0.005223968071553985
2024-05-25,0.0028879424333520865,0.0028879424333520865,0.0028879424333520865
2024-05-26,-0.010172354980861532,-0.010172354980861532,-0.010172354980861532
2024-05-27,0.009432182941636506,0.009432182941636506,0.009432182941636506
2024-05-28,-0.01816268188953859,-0.01816268188953859,-0.01816268188953859
2024-05-29,-0.006553656533861099,-0.006553656533861099,-0.006553656533861099
2024-05-30,0.0017178379936227395,0.0017178379936227395,0.0017178379936227395
2024-05-31,-0.00486306691213338,-0.00486306691213338,-0.00486306691213338
2024-06-01,0.00483532041698242,0.00483532041698242,0.00483532041698242
2024-06-02,-0.0031145867432336607,-0.0031145867432336607,-0.0031145867432336607
2024-06-03,0.0065549795798262814,0.0065549795798262814,0.0065549795798262814
2024-06-04,0.021022597861093388,0.021022597861093388,0.021022597861093388
2024-06-05,0.009638648330404717,0.009638648330404717,0.009638648330404717
2024-06-06,-0.006586819929151484,-0.006586819929151484,-0.006586819929151484
2024-06-07,-0.03690606210307941,-0.03690606210307941,-0.03690606210307941
2024-06-08,-0.006826429981009438,-0.006826429981009438,-0.006826429981009438
2024-06-09,0.007126345130279382,0.007126345130279382,0.007126345130279382
2024-06-10,-0.011398368690137032,-0.011398368690137032,-0.011398368690137032
2024-06-11,-0.03012944603314792,-0.03012944603314792,-0.03012944603314792
2024-06-12,0.017374108444809758,0.017374108444809758,0.017374108444809758
2024-06-13,-0.021497009188124916,-0.021497009188124916,-0.021497009188124916
2024-06-14,-0.01003932673625706,-0.01003932673625706,-0.01003932673625706
2024-06-15,0.013141061411260417,0.013141061411260417,0.013141061411260417
2024-06-16,0.002757776540129057,0.002757776540129057,0.002757776540129057
2024-06-17,-0.014183034411624919,-0.014183034411624919,-0.014183034411624919
2024-06-18,-0.038696527034176545,-0.038696527034176545,-0.038696527034176545
2024-06-19,0.01020320723523639,0.01020320723523639,0.01020320723523639
2024-06-20,-0.0009743309214644315,-0.0009743309214644315,-0.0009743309214644315
2024-06-21,-0.005241112733186383,-0.005241112733186383,-0.005241112733186383
2024-06-22,0.003951239093067584,0.003951239093067584,0.003951239093067584
2024-06-23,-0.01649819723469357,-0.01649819723469357,-0.01649819723469357
2024-06-24,-0.017951111362391747,-0.017951111362391747,-0.017951111362391747
2024-06-25,0.02142878104451546,0.02142878104451546,0.02142878104451546
2024-06-26,-0.010973223827494173,-0.010973223827494173,-0.010973223827494173
2024-06-27,0.01617792613187007,0.01617792613187007,0.01617792613187007
2024-06-28,-0.008761035946218524,-0.008761035946218524,-0.008761035946218524
2024-06-29,0.00048663839962901175,0.00048663839962901175,0.00048663839962901175
2024-06-30,0.014136515279164305,0.014136515279164305,0.014136515279164305
2024-07-01,-0.0008595379173537562,-0.0008595379173537562,-0.0008595379173537562
2024-07-02,0.005554094885456287,0.005554094885456287,0.005554094885456287
2024-07-03,-0.02953665272114407,-0.02953665272114407,-0.02953665272114407
2024-07-04,-0.06579111000149648,-0.06579111000149648,-0.06579111000149648
2024-07-05,-0.021556740220174484,-0.021556740220174484,-0.021556740220174484
2024-07-06,0.044246966087307917,0.044246966087307917,0.044246966087307917
2024-07-07,-0.05534774672326594,-0.05534774672326594,-0.05534774672326594
2024-07-08,0.029301189194487008,0.029301189194487008,0.029301189194487008
2024-07-09,0.013595526163839886,0.013595526163839886,0.013595526163839886
2024-07-10,0.009462205016699868,0.009462205016699868,0.009462205016699868
2024-07-11,0.00727492278239481,0.00727492278239481,0.00727492278239481
2024-07-12,0.023799441650210945,0.023799441650210945,0.023799441650210945
2024-07-13,0.033847619531106835,0.033847619531106835,0.033847619531106835
2024-07-14,0.012590838154892144,0.012590838154892144,0.012590838154892144
2024-07-15,0.03652094449992268,0.03652094449992268,0.03652094449992268
2024-07-16,0.002654230629027158,0.002654230629027158,0.002654230629027158
2024-07-17,0.000669683217597554,0.000669683217597554,0.000669683217597554
2024-07-18,-0.014010450151837349,-0.014010450151837349,-0.014010450151837349
2024-07-19,0.021730065705084865,0.021730065705084865,0.021730065705084865
2024-07-20,0.005180722256170363,0.005180722256170363,0.005180722256170363
2024-07-21,0.005842161458134447,0.005842161458134447,0.005842161458134447
2024-07-22,-0.019257444381991604,-0.019257444381991604,-0.019257444381991604
2024-07-23,-0.008363684129509606,-0.008363684129509606,-0.008363684129509606
2024-07-24,-0.002789893089961978,-0.002789893089961978,-0.002789893089961978
2024-07-25,-0.017222539057665916,-0.017222539057665916,-0.017222539057665916
2024-07-26,0.02290907098785267,0.02290907098785267,0.02290907098785267
2024-07-27,0.000280616793621623,0.000280616793621623,0.000280616793621623
2024-07-28,0.005536098763548363,0.005536098763548363,0.005536098763548363
2024-07-29,0.00650159368251409,0.00650159368251409,0.00650159368251409
2024-07-30,-0.0010531194747991236,-0.0010531194747991236,-0.0010531194747991236
2024-07-31,-0.015401788467824588,-0.015401788467824588,-0.015401788467824588
2024-08-01,-0.014143427991655577,-0.014143427991655577,-0.014143427991655577
2024-08-02,-0.052766569624482285,-0.052766569624482285,-0.052766569624482285
2024-08-03,-0.018030166651726083,-0.018030166651726083,-0.018030166651726083
2024-08-04,-0.04737477393869405,-0.04737477393869405,-0.04737477393869405
2024-08-05,-0.05792084007433091,-0.05792084007433091,-0.05792084007433091
2024-08-06,0.02728919276552306,0.02728919276552306,0.02728919276552306
2024-08-07,0.010919347590827407,0.010919347590827407,0.010919347590827407
2024-08-08,0.07073796369655311,0.07073796369655311,0.07073796369655311
2024-08-09,-0.019301917153594108,-0.019301917153594108,-0.019301917153594108
2024-08-10,0.010912198756209024,0.010912198756209024,0.010912198756209024
2024-08-11,-0.0340217424064959,-0.0340217424064959,-0.0340217424064959
2024-08-12,0.030296142709765207,0.030296142709765207,0.030296142709765207
2024-08-13,0.009642032520803274,0.009642032520803274,0.009642032520803274
2024-08-14,-0.010253146447668265,-0.010253146447668265,-0.010253146447668265
2024-08-15,-0.01189154388540874,-0.01189154388540874,-0.01189154388540874
2024-08-16,0.010082327397075031,0.010082327397075031,0.010082327397075031
2024-08-17,0.011066620069300846,0.011066620069300846,0.011066620069300846
2024-08-18,-0.011580624508525945,-0.011580624508525945,-0.011580624508525945
2024-08-19,0.022936809041311644,0.022936809041311644,0.022936809041311644
2024-08-20,0.008266821834969566,0.008266821834969566,0.008266821834969566
2024-08-21,0.011404649084295188,0.011404649084295188,0.011404649084295188
2024-08-22,0.0026541252410074343,0.0026541252410074343,0.0026541252410074343
2024-08-23,0.03388584233334201,0.03388584233334201,0.03388584233334201
2024-08-24,-0.00072309190863478,-0.00072309190863478,-0.00072309190863478
2024-08-25,-0.008830337789396195,-0.008830337789396195,-0.008830337789396195
2024-08-26,-0.027961683018954325,-0.027961683018954325,-0.027961683018954325
2024-08-27,-0.04120944677707953,-0.04120944677707953,-0.04120944677707953
2024-08-28,0.0040782320585327925,0.0040782320585327925,0.0040782320585327925
2024-08-29,-0.00027681082785970717,-0.00027681082785970717,-0.00027681082785970717
2024-08-30,0.005225805399460822,0.005225805399460822,0.005225805399460822
2024-08-31,-0.005436690265783009,-0.005436690265783009,-0.005436690265783009
2024-09-01,-0.028261652601426938,-0.028261652601426938,-0.028261652601426938
2024-09-02,0.02563648930308597,0.02563648930308597,0.02563648930308597
2024-09-03,-0.024911716303417868,-0.024911716303417868,-0.024911716303417868
2024-09-04,0.005835301540774328,0.005835301540774328,0.005835301540774328
2024-09-05,-0.0138586381147425,-0.0138586381147425,-0.0138586381147425
2024-09-06,-0.03198192387858227,-0.03198192387858227,-0.03198192387858227
2024-09-07,0.009381854988331249,0.009381854988331249,0.009381854988331249
2024-09-08,0.011390246444822224,0.011390246444822224,0.011390246444822224
2024-09-09,0.024978237232492317,0.024978237232492317,0.024978237232492317
2024-09-10,0.004216332683560584,0.004216332683560584,0.004216332683560584
2024-09-11,0.0013074492043823993,0.0013074492043823993,0.0013074492043823993
2024-09-12,0.013142247483328418,0.013142247483328418,0.013142247483328418
2024-09-13,0.016121984738335496,0.016121984738335496,0.016121984738335496
2024-09-14,-0.0013871209287387304,-0.0013871209287387304,-0.0013871209287387304
2024-09-15,-0.02152809951516318,-0.02152809951516318,-0.02152809951516318
2024-09-16,-0.009115750184625557,-0.009115750184625557,-0.009115750184625557
2024-09-17,0.01250175760881168,0.01250175760881168,0.01250175760881168
2024-09-18,0.013824190645936468,0.013824190645936468,0.013824190645936468
2024-09-19,0.018273458482510475,0.018273458482510475,0.018273458482510475
2024-09-20,0.004881056981026801,0.004881056981026801,0.004881056981026801
2024-09-21,0.017635823198783256,0.017635823198783256,0.017635823198783256
2024-09-22,-0.005327945167445794,-0.005327945167445794,-0.005327945167445794
2024-09-23,0.0033533332586891803,0.0033533332586891803,0.0033533332586891803
2024-09-24,0.004913876927982001,0.004913876927982001,0.004913876927982001
2024-09-25,-0.012681835458118096,-0.012681835458118096,-0.012681835458118096
2024-09-26,0.01998561675841709,0.01998561675841709,0.01998561675841709
2024-09-27,0.014394306549319679,0.014394306549319679,0.014394306549319679
2024-09-28,-0.0021166559977448423,-0.0021166559977448423,-0.0021166559977448423
2024-09-29,0.005083595071929228,0.005083595071929228,0.005083595071929228
2024-09-30,-0.03183330396872737,-0.03183330396872737,-0.03183330396872737
2024-10-01,-0.04145912839644001,-0.04145912839644001,-0.04145912839644001
2024-10-02,-0.0209267677687845,-0.0209267677687845,-0.0209267677687845
2024-10-03,-5.4330494172995496e-05,-5.4330494172995496e-05,-5.4330494172995496e-05
2024-10-04,0.01608433338449193,0.01608433338449193,0.01608433338449193
2024-10-05,-0.0008868127611151907,-0.0008868127611151907,-0.0008868127611151907
2024-10-06,0.0079593927361184,0.0079593927361184,0.0079593927361184
2024-10-07,-0.008124356199613138,-0.008124356199613138,-0.008124356199613138
2024-10-08,0.00638752409060156,0.00638752409060156,0.00638752409060156
