Experiment,Algo,Features,Obs Dim,SharpeRatio_Train_Mean,SharpeRatio_Train_Std,SortinoRatio_Train_Mean,SortinoRatio_Train_Std,CalmarRatio_Train_Mean,CalmarRatio_Train_Std,CVaR95pct_Train_Mean,CVaR95pct_Train_Std,SharpeRatio_Test_Mean,SharpeRatio_Test_Std,SortinoRatio_Test_Mean,SortinoRatio_Test_Std,CalmarRatio_Test_Mean,CalmarRatio_Test_Std,CVaR95pct_Test_Mean,CVaR95pct_Test_Std,Rank
E2_SAC_NoMarket,sac,Network(5),10,0.16768862979773322,0.030443996404943274,0.24651352095513024,0.0458719995508584,0.18374586442749843,0.029958983046030493,0.13671449453090886,0.003280365208449875,0.1475968073465003,0.14395040132356107,0.18150933403425906,0.17281665116299313,0.1931728381734228,0.1957010958593613,0.11077468582808529,0.010459976965623154,1
E2_TQC_NoMarket,tqc,Network(5) [TQC],10,0.16768862979773322,0.030443996404943274,0.24651352095513024,0.0458719995508584,0.18374586442749843,0.029958983046030493,0.13671449453090886,0.003280365208449875,0.1475968073465003,0.14395040132356107,0.18150933403425906,0.17281665116299313,0.1931728381734228,0.1957010958593613,0.11077468582808529,0.010459976965623154,1
E2_SAC_WithMarket,sac,Network(5) + Market(4),20,-0.22673378758677598,0.3182978625041225,-0.3168616228547348,0.4497851717068417,-0.20750693871178894,0.30286968462240055,0.12880036101878803,0.009202473584171537,-0.07318920767057667,0.19053305799612633,-0.0979110811490903,0.23467246156278251,-0.07636293985895824,0.24092008185372293,0.1101473463175117,0.010473712178611507,4
E2_TQC_WithMarket,tqc,Network(5) + Market(4) [TQC],20,-0.22673378758677598,0.3182978625041225,-0.3168616228547348,0.4497851717068417,-0.20750693871178894,0.30286968462240055,0.12880036101878803,0.009202473584171537,-0.07318920767057667,0.19053305799612633,-0.0979110811490903,0.23467246156278251,-0.07636293985895824,0.24092008185372293,0.1101473463175117,0.010473712178611507,4
E2_TQC_CVaR_Focused,tqc,Network(5) + Market(4) [TQC-RiskAverse],20,-0.22673378758677598,0.3182978625041225,-0.3168616228547348,0.4497851717068417,-0.20750693871178894,0.30286968462240055,0.12880036101878803,0.009202473584171537,-0.07318920767057667,0.19053305799612633,-0.0979110811490903,0.23467246156278251,-0.07636293985895824,0.24092008185372293,0.1101473463175117,0.010473712178611507,4
Classic-MV,classic,Standard Baseline (Deterministic),1,-0.4033345028189896,0.0,-0.5229161178673675,0.0,-0.3314243851571796,0.0,0.11660653289775642,1.3877787807814457e-17,-0.10535266974300976,1.3877787807814457e-17,-0.1334691408970812,0.0,-0.11884642687003605,0.0,0.09783703130391837,1.3877787807814457e-17,6
Comp_Static_Gamma0,static,Static Gamma 0.0 (Deterministic),10,-0.41744705010018524,0.0,-0.5474605929987613,0.0,-0.34377288216215135,0.0,0.11589049226033254,0.0,-0.07515625955274441,0.0,-0.09474945310137083,0.0,-0.08461545370566842,0.0,0.09852746573910524,1.3877787807814457e-17,7
Comp_Static_Gamma1,static,Static Gamma 1.0 (Deterministic),10,-0.6626283957922285,0.0,-0.9319570594925871,1.1102230246251565e-16,-0.6203018480746506,0.0,0.12499015346516641,0.0,-0.10386311185530027,0.0,-0.13492989828487367,0.0,-0.1178311811524038,1.3877787807814457e-17,0.09763803642664781,0.0,8
Comp_Static_Gamma2,static,Static Gamma 2.0 (Deterministic),10,-0.6626287371736219,0.0,-0.9319575001636733,0.0,-0.6203020919288678,0.0,0.12499016043725021,0.0,-0.10386260670084806,1.3877787807814457e-17,-0.13492924169882967,0.0,-0.11783058874626774,0.0,0.09763803790653776,0.0,9
