Experiment,Features,Obs Dim,TotalRet Train (mean),TotalRet Train (std),AnnRet Train (mean),AnnRet Train (std),Sharpe Train,MaxDD Train,TotalRet Test (mean),TotalRet Test (std),AnnRet Test (mean),AnnRet Test (std),Sharpe Test,MaxDD Test,TotalRet Gap,AnnRet Gap
E0_Baseline,Network(5) + Market(4),9,-0.6200283491261782,0.012594991350980024,-0.38366569210033313,0.010181933984288842,-0.47114696549599727,-0.9428019262487303,-0.07913297217822568,6.660637635245035e-07,-0.09913144045959132,8.251402077592083e-07,-0.1596050815648837,-0.5502125405748548,-0.5408953769479525,-0.2845342516407418
E1_NoNetwork,Market(4),4,-0.6258812245878508,0.017295532386347096,-0.38851210117223106,0.014188904092614113,-0.48156664242731173,-0.9417119284617178,-0.07913058979879983,3.1105876055253474e-06,-0.09912848909206547,3.853495401993195e-06,-0.1595996511171767,-0.5502123931959167,-0.546750634789051,-0.2893836120801656
E2_NoMarket,Network(5),5,-0.5651078052762974,0.08149981503040953,-0.34328128525947105,0.060105943410366874,-0.4247885888245482,-0.9419191362687241,-0.07913263149601261,1.6760482725531726e-07,-0.09913101841204856,2.0763402871234376e-07,-0.15960409362640918,-0.5502123981927542,-0.4859751737802848,-0.24415026684742247
E3_AddDownside,Network(5) + Market(4) + downside_vol,10,-0.5849775821769198,0.05226891303973523,-0.35700672176433557,0.03977514257464999,-0.43882559303078666,-0.9419823610705028,-0.06879810804354021,0.05137064260556008,-0.08584194283061115,0.06395798259543069,-0.13934577684450947,-0.5559335917658104,-0.5161794741333795,-0.2711647789337244
E4_AddAvgCorr,Network(5) + Market(4) + avg_corr,10,-0.5797577449182154,0.06623540404424155,-0.3536622989904461,0.04989820974212511,-0.43422358926069,-0.9410803445641461,-0.07060184068801538,0.012064324661884005,-0.08852396256988038,0.015000598378502159,-0.14203885434033395,-0.5502123623814169,-0.5091559042302001,-0.2651383364205657
E5_AddBoth,Network(5) + Market(4) + downside_vol + avg_corr,11,-0.5018638634530137,0.10358438060021849,-0.29781560780784905,0.07122651127723315,-0.3660115020927779,-0.937782868263517,-0.07851396089441232,0.0008722574085493513,-0.09836438541192487,0.0010808689767414787,-0.15836620420617148,-0.5502156684870395,-0.4233499025586014,-0.19945122239592417
Comp_Static_Gamma0,Static Gamma 0.0,5,-0.5232329658567931,0.0,-0.309516811107463,0.0,-0.3941160780186661,-0.9310039483287005,-0.07015431180895493,0.0,-0.08799399220782345,0.0,-0.1419096306159239,-0.5570536900819846,-0.4530786540478382,-0.22152281889963954
Comp_Static_Gamma1,Static Gamma 1.0,5,-0.6229062480213006,0.0,-0.38592040257088867,0.0,-0.4756883384967025,-0.9419190288309576,-0.07913254000735725,0.0,-0.09913090507308275,0.0,-0.15960390572982822,-0.550212412817916,-0.5437737080139433,-0.2867894974978059
Comp_Static_Gamma2,Static Gamma 2.0,5,-0.62214909048814,0.0,-0.3853042138489478,5.551115123125783e-17,-0.4749449082357556,-0.9419191402197106,-0.07913352715530164,0.0,-0.09913212798227455,0.0,-0.15960589058659946,-0.5502124042741809,-0.5430155633328384,-0.28617208586667325
