Experiment,Features,Obs Dim,Sortino Train (mean),Sortino Train (std),Sharpe Train,MaxDD Train,Sortino Test (mean),Sortino Test (std),Sharpe Test,MaxDD Test,Sortino Gap
E0_Baseline,Network(5) + Market(4),9,-0.3054982177834058,0.06847780206883732,-0.3090651769422164,-0.938346299364281,-0.05523633087068111,0.06885238752380751,-0.05625141504176193,-0.5620847369322979,-0.25026188691272466
E1_NoNetwork,Market(4),4,-0.37913886921141193,0.17016398685539902,-0.4072717022191399,-0.9418416288878066,0.027483600446927686,0.18505001460664816,0.02874894833298601,-0.5623706025126016,-0.4066224696583396
E2_NoMarket,Network(5),5,-0.46289090640635594,0.00018013968399401857,-0.48184101856907874,-0.9419190524885566,-0.15127304503813058,4.0874822759122485e-07,-0.15960439355298264,-0.5502124006885422,-0.31161786136822534
E3_AddDownside,Network(5) + Market(4) + downside_vol,10,-0.1461258059190547,0.1827712011266036,-0.1497317324834506,-0.9332869710815075,0.13598948628078728,0.20313593135315114,0.1423612370834381,-0.5442527147661521,-0.282115292199842
E4_AddAvgCorr,Network(5) + Market(4) + avg_corr,10,-0.2463244160019489,0.08908096819565696,-0.24967565985845225,-0.9298452221857283,-0.1659741261224722,0.05249735705608599,-0.17516232144313132,-0.5443966169478749,-0.0803502898794767
E5_AddBoth,Network(5) + Market(4) + downside_vol + avg_corr,11,-0.18601088789105502,0.20367415621775825,-0.19799478585952984,-0.9345838750069201,0.11333718786248932,0.19080442971464373,0.11895859155627561,-0.5411335094068278,-0.29934807575354433
Comp_Static_Gamma0,Static Gamma 0.0,5,-0.37823918340518187,0.0,-0.3941160780186662,-0.9310039483287005,-0.13075363773453255,0.0,-0.1419096306159239,-0.5570536900819846,-0.24748554567064932
Comp_Static_Gamma1,Static Gamma 1.0,5,-0.46346190999037895,0.0,-0.4825002733925976,-0.9419190288309576,-0.15127258379572336,0.0,-0.15960390572982822,-0.550212412817916,-0.31218932619465556
Comp_Static_Gamma2,Static Gamma 2.0,5,-0.46280372109971685,0.0,-0.4817624655104555,-0.9419191402197106,-0.15127446069177916,0.0,-0.15960589058659946,-0.5502124042741809,-0.3115292604079377
