Experiment,Features,Obs Dim,TotalRet Train (mean),TotalRet Train (std),AnnRet Train (mean),AnnRet Train (std),Sharpe Train,MaxDD Train,TotalRet Test (mean),TotalRet Test (std),AnnRet Test (mean),AnnRet Test (std),Sharpe Test,MaxDD Test,TotalRet Gap,AnnRet Gap
E0_Baseline,Network(5) + Market(4),9,-0.5719480811323563,0.07171946657314092,-0.34792979621297837,0.05344500164464166,-0.4277945514845012,-0.9368651127834194,-0.07913121209212359,1.8653691546224217e-06,-0.09912926000973299,2.31087825773252e-06,-0.15960085700101512,-0.5502124115598458,-0.4928168690402327,-0.24880053620324538
E1_NoNetwork,Market(4),4,-0.4935640972177717,0.01897272652608105,-0.28848085387746086,0.013281847886536283,-0.3511834292445941,-0.9322833482828807,-0.10148168124831965,0.0315440590799468,-0.12654505815300512,0.03869216581380498,-0.20354721831327627,-0.557791321180953,-0.3920824159694521,-0.16193579572445574
E2_NoMarket,Network(5),5,-0.4617084916907324,0.13306550820851243,-0.27204979485999065,0.09154237896125444,-0.33438524039322864,-0.9388412796160551,-0.07913254834404493,1.4338759234800355e-07,-0.09913091540082526,1.776329807516133e-07,-0.1596039270507404,-0.5502123830621772,-0.3825759433466875,-0.1729188794591654
E3_AddDownside,Network(5) + Market(4) + downside_vol,10,-0.4946579737891825,0.17520367732982403,-0.298981112972969,0.1179599349024921,-0.37493623297121276,-0.9368671461280464,-0.07835224996536216,0.0011518350510090715,-0.09816391113615952,0.001427418188068398,-0.1586212649670127,-0.5502124085456417,-0.41630572382382036,-0.20081720183680946
E4_AddAvgCorr,Network(5) + Market(4) + avg_corr,10,-0.33352508013102605,0.360972220610148,-0.21106337272116837,0.20989025229122918,-0.27923715035733093,-0.9372960699314978,-0.09898465965812209,0.028074963488380077,-0.12350907031370258,0.03447571714090114,-0.1988321481315707,-0.55021236781739,-0.23454042047290397,-0.0875543024074658
E5_AddBoth,Network(5) + Market(4) + downside_vol + avg_corr,11,-0.5750911561785378,0.038618735928093756,-0.34882951425065983,0.029763103172059702,-0.4279710074840742,-0.937941958873527,-0.07912632526982173,4.263047732874646e-06,-0.09912320605407669,5.281202509066887e-06,-0.1595910593647182,-0.5502110221144397,-0.49596483090871607,-0.24970630819658313
Comp_Static_Gamma0,Static Gamma 0.0,5,-0.5232329658567931,0.0,-0.309516811107463,0.0,-0.3941160780186661,-0.9310039483287005,-0.07015431180895493,0.0,-0.08799399220782345,0.0,-0.1419096306159239,-0.5570536900819846,-0.4530786540478382,-0.22152281889963954
Comp_Static_Gamma1,Static Gamma 1.0,5,-0.6229062480213006,0.0,-0.38592040257088867,0.0,-0.4756883384967025,-0.9419190288309576,-0.07913254000735725,0.0,-0.09913090507308275,0.0,-0.15960390572982822,-0.550212412817916,-0.5437737080139433,-0.2867894974978059
Comp_Static_Gamma2,Static Gamma 2.0,5,-0.62214909048814,0.0,-0.3853042138489478,5.551115123125783e-17,-0.4749449082357556,-0.9419191402197106,-0.07913352715530164,0.0,-0.09913212798227455,0.0,-0.15960589058659946,-0.5502124042741809,-0.5430155633328384,-0.28617208586667325
