Date,BCH,BTC,ETH,LTC,XRP
2023-01-01,96.95507049560547,16625.080078125,1200.96484375,70.81565856933594,0.3387629985809326
2023-01-02,99.31005096435547,16688.470703125,1214.6566162109375,74.86290740966797,0.3485560119152069
2023-01-03,99.64935302734375,16679.857421875,1214.77880859375,75.60272216796875,0.34382399916648865
2023-01-04,101.48273468017578,16863.23828125,1256.526611328125,75.43390655517578,0.3477939963340759
2023-01-05,101.08454895019531,16836.736328125,1250.4385986328125,74.25080871582031,0.33803901076316833
2023-01-06,101.62651062011719,16951.96875,1269.3790283203125,75.9925765991211,0.3446449935436249
2023-01-07,101.51829528808594,16955.078125,1264.2703857421875,76.37344360351562,0.34426799416542053
2023-01-08,103.42367553710938,17091.14453125,1287.3594970703125,77.6822738647461,0.3453580141067505
2023-01-09,107.11087036132812,17196.5546875,1321.5389404296875,81.747314453125,0.3493399918079376
2023-01-10,107.45953369140625,17446.29296875,1336.5860595703125,80.88751983642578,0.35124099254608154
2023-01-11,109.7518081665039,17934.896484375,1387.9327392578125,84.0703125,0.37415799498558044
2023-01-12,119.71046447753906,18869.587890625,1417.9384765625,85.96422576904297,0.37519699335098267
2023-01-13,124.35079956054688,19909.57421875,1451.6148681640625,86.34003448486328,0.3858039975166321
2023-01-14,125.94871520996094,20976.298828125,1550.7069091796875,87.81385803222656,0.39544299244880676
2023-01-15,124.90913391113281,20880.798828125,1552.4794921875,87.36553192138672,0.38488098978996277
2023-01-16,123.95055389404297,21169.6328125,1576.83349609375,85.83431243896484,0.38657599687576294
2023-01-17,122.8044662475586,21161.51953125,1567.8460693359375,87.11742401123047,0.3877109885215759
2023-01-18,119.09417724609375,20688.78125,1515.5069580078125,82.77532958984375,0.3794519901275635
2023-01-19,121.66796112060547,21086.79296875,1552.5565185546875,84.23226928710938,0.3937849998474121
2023-01-20,127.90760803222656,22676.552734375,1659.754150390625,90.49322509765625,0.41334399580955505
2023-01-21,128.22267150878906,22777.625,1627.1181640625,88.31465148925781,0.403533011674881
2023-01-22,128.63442993164062,22720.416015625,1628.382080078125,87.62997436523438,0.400967001914978
2023-01-23,133.3980712890625,22934.431640625,1628.2510986328125,90.02592468261719,0.4249430000782013
2023-01-24,128.29624938964844,22636.46875,1556.604248046875,87.202880859375,0.40770700573921204
2023-01-25,131.89364624023438,23117.859375,1611.7110595703125,89.38101196289062,0.41769298911094666
2023-01-26,134.0192108154297,23032.77734375,1603.10595703125,87.5894546508789,0.4101029932498932
2023-01-27,134.9151153564453,23078.728515625,1598.156494140625,88.84580993652344,0.41279101371765137
2023-01-28,132.6318359375,23031.08984375,1572.43505859375,89.60193634033203,0.40813401341438293
2023-01-29,136.7196807861328,23774.56640625,1646.1556396484375,95.05005645751953,0.41376399993896484
2023-01-30,130.90599060058594,22840.138671875,1567.3265380859375,91.26243591308594,0.39459100365638733
2023-01-31,133.396728515625,23139.283203125,1586.535400390625,94.30811309814453,0.4063889980316162
2023-02-01,136.29177856445312,23723.76953125,1641.792724609375,100.4436264038086,0.41389200091362
2023-02-02,136.686279296875,23471.87109375,1643.2415771484375,98.690185546875,0.40974700450897217
2023-02-03,137.89990234375,23449.322265625,1664.74560546875,99.9709243774414,0.4122050106525421
2023-02-04,138.27224731445312,23331.84765625,1667.0592041015625,98.6144790649414,0.4113050103187561
2023-02-05,134.46292114257812,22955.666015625,1631.6458740234375,96.45875549316406,0.3989369869232178
2023-02-06,131.60269165039062,22760.109375,1616.2470703125,96.06245422363281,0.3928239941596985
2023-02-07,135.96920776367188,23264.291015625,1672.0035400390625,100.92766571044922,0.403903990983963
2023-02-08,131.4954376220703,22939.3984375,1650.716796875,99.2076187133789,0.39805200695991516
2023-02-09,126.42708587646484,21819.0390625,1546.438232421875,92.09846496582031,0.38246598839759827
2023-02-10,124.68172454833984,21651.18359375,1514.869140625,93.52928161621094,0.38264501094818115
2023-02-11,124.76457977294922,21870.875,1539.9267578125,94.43054962158203,0.38400799036026
2023-02-12,122.90042877197266,21788.203125,1515.03369140625,92.39573669433594,0.3752819895744324
2023-02-13,123.85804748535156,21808.1015625,1507.1658935546875,91.12174987792969,0.3716750144958496
2023-02-14,126.73186492919922,22220.8046875,1556.8751220703125,95.68757629394531,0.382407009601593
2023-02-15,134.57415771484375,24307.841796875,1673.7459716796875,102.79530334472656,0.4013519883155823
2023-02-16,128.01425170898438,23623.474609375,1640.067626953125,98.95220184326172,0.3851569890975952
2023-02-17,133.4793243408203,24565.6015625,1694.7833251953125,100.30950927734375,0.3953019976615906
2023-02-18,136.1602783203125,24641.27734375,1691.8194580078125,99.7918472290039,0.3946300148963928
2023-02-19,135.9656524658203,24327.642578125,1681.4361572265625,97.56421661376953,0.38631701469421387
